3250	Je t'aime !	2491177	J't'aquiers.
3721	Ferme la porte en sortant.	2691128	Freume ech' porte quind té déhutt'ras.
4095	Pourtant, la chanteuse ne renie pas ses origines.	2689918	Pourtint, ech' canteusse n'a point arnié ses rachennes.
4223	Qui va à la chasse perd sa place.	2514708	Qui va à l'ducasse, perd s'plache.
6873	Je n'ai plus confiance en lui.	2691124	J'n'a pus ed'fiate in li.
8834	Un voyage jusqu'à la lune n'est plus un rêve.	2702400	In voïache squ'à ch'leune ch'n'est pu in rêfe.
9244	J'ai croisé un vieil ami.	2689967	J'a rincontré eun' vielle quête.
9379	Je ne sais pas comment vous remercier.	2689581	Je n'sais point commint vous armercier.
9495	Bonjour tout le monde.	2571415	Bonjour tertous.
9712	J'ai un peu de diarrhée.	2691115	J'a eun' tiote drousse.
10501	Ce château est beau.	2689560	Ch'câtieau i est bieau.
10618	Ce n'est pas un cheval mais un âne.	2702517	Ch'n'est pas in g'va, ch'est in baudet.
10913	Bon anniversaire !	2491183	Bons ans !
11600	Veuillez m'excuser de vous avoir dérangé.	2689551	S'cusez-me d'o'z'avoir déringé.
14314	Je ne sais pas parler français.	2595990	Éj n’pérle poin frinsé.
14507	L'habit ne fait pas le moine.	2686858	Faut point juger l'boutelle à ch'létiquette.
127998	J'aime le blanc de l'œuf.	2702406	J'caire el' glaire.
4583797	J'ai mal aux dents.	2589315	J'ai d'ma à mes dints.
128161	J'ai des hémorroïdes.	2687347	J'a des écauffettes.
130764	Il se plaint tout le temps.	2687330	I huigne toudis.
133278	Il ressemble beaucoup à son père.	2689595	I tire gramint sus sin père.
133286	Il ressemble à son père.	2689596	I tire sus sin père.
134887	Mon père m'a acheté ce chapeau.	2686871	Min père i m'a acaté ch'capieau.
130803	C'est le portrait craché de son père.	2689968	Ch'est tout sin père tout craché.
135060	Maman m'a acheté le livre.	2686875	Man all' m'a acaté ech' life.
135062	Ma mère m'a acheté un nouveau vélo.	2686879	Man all' m'a acaté un nouvieau vélo.
135403	Toutes les pommes qui tombent sont mangées par les cochons.	2687373	Chés pourchiaux i mingent tertoutes chés peimmes qui sont querres.
182056	La nonne pria et fit le signe de croix.	2689555	L'arligieusse all'a fait eun'prière et pi l'signe ed'crox.
338111	Comment vous appelez-vous ?	2506251	Kmint qu’os vos aplez ?
338179	Tous les êtres humains naissent libres et égaux en dignité et en droits. Ils sont doués de raison et de conscience et doivent agir les uns envers les autres dans un esprit de fraternité.	2491176	Tous chés ètes humains is sont nés libes et égals in dignité et pi in drouots. Is sont dotés ed raison et d'conschienche et pi is doétte agir les uns invèrs les eutes din un ésprit ed fratérnité.
354384	Une mouche ne rentre pas dans une bouche fermée.	2702455	Eun' mouque n'rintre point dins eun' bouque freumée.
398059	Le cochon engraisse.	2687375	El pourchiau incrach'.
409935	Un clou chasse l'autre.	2702429	In clo cache l'aute.
412387	Un tiens vaut mieux que deux tu l'auras.	2686482	I vaut miux un p'tit avoëre qu'un grand espoëre.
427395	Il va neiger demain.	2593617	D'main, i va kère des nèges.
428806	Il pleut comme vache qui pisse.	2686487	I pleut comme vaque qui pisse.
429295	Avoir les yeux plus gros que le ventre.	2655930	Avoir d'pu grands yux qu'ed grande panche.
434006	Ce n'est pas un cochon ; c'est un singe.	2687378	Ch'n'est point in pourchiau ; ch'est in sinche.
439117	Combien ça coûte ?	2655925	Combin qu'cha coute ?
441686	Le temps file comme une flèche.	2687336	El timps passe felle comme eun' flêche.
470160	Il est ivre.	2691137	I est gavé.
491521	Il m'a trouvé une bonne place.	2702332	I m'a dégoté eun' bonne plache.
519940	J’ai bien mangé !	2702356	J'sus rappoïé.
585660	Je suis enrhumé.	2689963	J'sus inchiferné.
628546	Les chiens ne font pas des chats.	2589314	Des kyins cha n'jonne pon des cats.
747412	Tu peux toujours courir !	2514670	Té peux toudis chiffler poupoule !
806540	La jeune fille semble être riche.	2702497	Ch'jonnette sanne miroulle.
940690	J'aime mon café fort.	2689949	J'a querre ed' min trente six bidets.
955251	Il ment comme un arracheur de dents.	2507677	I mint comme un arracheux d'dints !
1055741	Il s'exprimait dans une sorte de patois picard.	2689942	I pérlot dins eun' sorte ed' parlache picard.
