3093	Qu'est-ce que tu fais ?	770525	Dè tha thu a' dèanamh?
3123	Ne t'inquiète pas.	1516595	Na gabh dragh!
3476	Comment est-ce que tu t'appelles ?	773172	Dè an t-ainm a th' ort?
3584	Pourquoi est-ce que les gens vont au cinéma ?	1516655	Carson a thèid daoine don taigh-dealbh?
3635	Il fait froid.	1515925	Tha e fuar.
6763	J'ai parlé de musique.	1514141	Bhruidhinn air ceòl.
7169	Je n'ai pas pu dormir à cause du bruit.	1514187	Cha b' urrainn dhomh cadal air sgàth na fuaim.
7232	J'ai un ordinateur.	3254454	Tha coimpiutair agam.
8446	J'étais très fatigué aujourd'hui.	3095236	Bha mi glè sgìth an-diugh.
10027	Ce fut Janet qui gagna le premier prix.	1526172	B' e Janet a bhuannaich a' chiad duais.
10262	Je suis d'accord avec vous.	1182033	Tha mi ag aontachadh ribh.
10425	Ne saviez-vous pas qu'il est mort il y a deux ans ?	1527808	Nach robh fhios agaibh gun do shiubhail e bho chionn mu dà bhliadhna?
11878	C'était génial. Je suis allé à Kyoto.	1526243	Bha e sgoinneil. Chaidh mi a Kyoto.
12737	Je ferai mes devoirs après avoir regardé la télévision.	1516657	Nì mi m' obair-dachaigh às dèidh dhomh coimhead air an telebhisean.
13461	Madère est le nom d'un vin.	878977	'S e ainm fìona a th' ann am "Madeira".
13587	Désolé.	1516324	Tha mi duilich.
4851848	Je suis de Kyoto.	1187082	'S ann à Kyoto a tha mi.
14370	Je voudrais la rencontrer.	879203	Bu toil leam a coinneachadh.
119932	Il était si pauvre qu'il ne pouvait pas acheter de pain.	880294	Bha e cho bochd nach b' urrainn dha aran a cheannach.
127392	« Tu ne peux pas sortir maintenant. » « Pourquoi cela ? »	879069	"Chan fhaod tu dol a-mach an-dràsta." "Carson nach faod?"
128102	Ma voiture a été sérieusement endommagée dans l'accident.	1514032	Chaidh cron mòr a dhèanamh air a' chàr agam san tubaist.
3632417	J'ai besoin d'un nouveau vélo.	1607597	Tha feum agam air rothair ùir.
129126	Taro est mort il y a deux ans.	878387	Chaochail Taro o chionn dà bhliadhna.
129197	Dis-moi le nom du neuvième mois.	1514061	Innis dhomh an t-ainm a tha air an naoidheamh mìos.
129562	Sais-tu où se trouve la tour de Tokyo ?	1515927	A bheil fios agad càite bheil tùr Tokyo?
133805	Ses cheveux sont longs.	1516396	Tha a falt fada.
133966	Elle doit visiter l'Angleterre cet été.	877984	Feumaidh i dol a Shasainn san t-samhradh.
134104	Je ne pense pas qu'elle puisse parler français.	880114	Cha chreid mi gu bheil Fraingis aice.
3666794	Elle a de longs cheveux.	1527883	Tha falt fada oirre.
135332	Ne dors pas avec la lumière allumée.	1515507	Na dèan cadal leis an t-solas air.
139705	Comment tu t'appelles ?	773172	Dè an t-ainm a th' ort?
180245	J'ai besoin d'un timbre.	1514154	Tha feum agam air stampa.
180336	Qu'as-tu fait de mon livre ?	1516071	Dè rinn thu leis an leabhar agam?
181844	L'un de nous deux a tort.	877831	Tha fear dhuinn ceàrr.
236593	La glace est très épaisse.	770508	Tha an t-éigh glè thiugh.
332697	Dis-moi ce que tu as fait à Shounan.	880296	Innis dhomh dè ni thu ann an Shounan.
333272	Il vient d'Angleterre.	1516066	'S ann à Sasainn a tha e.
334351	Que fais-tu ?	770525	Dè tha thu a' dèanamh?
334586	Le garçon que j'aime ne m'aime pas.	1514151	Chan eil gràdh orm aig a' bhalach is tha gaol agam air.
354214	Je ne sais rien de ce qu'il s'est passé.	879158	Chan eil càil fhios agam air dè a thachair.
373206	Un jour, elle rencontra un loup dans les bois.	1516397	Aon latha, thachair i le madadh-allaidh anns a' choille.
374826	Merci !	1516051	Tapadh leat!
374826	Merci !	1516052	Tapadh leibh!
385214	Je sais que tu sais que je sais.	844408	Tha fios agam gum bheil fios agad gum bheil fios agam.
392213	C'est un DVD.	883331	'S e DVD a th' ann.
399226	Où habite John ?	882029	Càite bheil Iain a' fuireach?
400512	J'étais très fatigué.	3095232	Bha mi glè sgìth.
424458	Betty l'a tué.	1514168	Mharbh Betty e.
424458	Betty l'a tué.	1528310	Mharbh Betty i.
426106	Parlez-vous allemand ?	1516518	A bheil Gearmailtis agaibh?
427110	Bonne nuit !	877952	Oidhche mhath.
429748	Je dois en acheter un demain.	1607588	Tha agam ri fear a cheannaich a-màireach.
439004	Bienvenue chez Tatoeba.	1526205	Fàilte gu Tatoeba.
447621	Je veux essayer ça.	1516353	Bu mhath leam sin fheuchainn.
451070	Comment t'appelles-tu ?	773172	Dè an t-ainm a th' ort?
457245	Bienvenue sur Tatoeba.	1526205	Fàilte gu Tatoeba.
460753	Parlez-vous l'allemand ?	1516518	A bheil Gearmailtis agaibh?
461141	Vous avez de la chance d'avoir des amis si sympas.	1516064	Tha sibh fortanach gu bheil càirdean cho math agaibh.
465049	Il fait froid aujourd'hui !	1535618	Tha e fuar an-diugh!
465948	T'inquiète.	1516595	Na gabh dragh!
466762	Bonjour tout le monde !	1516599	Halò, a h-uile duine.
473999	Salut tout le monde !	1516599	Halò, a h-uile duine.
482241	Merde !	1526213	Murt!
482244	J'ai perdu ma clé.	1515926	Tha mi air an iuchair agam a chall.
484893	Pourquoi ne m'écoutes-tu pas ?	880117	Carson nach eil thu ag èisteachd rium?
484893	Pourquoi ne m'écoutes-tu pas ?	1516535	Carson nach èist thu rium?
486423	Pourquoi es-tu seul ?	878970	Carson a tha thu nad aonar?
486424	Pourquoi es-tu seule ?	878970	Carson a tha thu nad aonar?
493575	Comment ça va ?	877976	Ciamar a tha thu?
497416	C'est arrivé il y a plus de trois jours.	1516054	Thachair e bho chionn barrachd air trì latha.
498653	Tu étais chez toi hier ?	852108	An robh thu aig an taigh an-dè?
500890	Il est décédé hier.	877993	Chaochail e an-dè.
500900	Il a crevé hier.	877993	Chaochail e an-dè.
525050	Tu n'as pas d'argent.	1516364	Chan eil airgead sam bith agad.
529816	Où allons-nous cette nuit ?	1516337	Càite am bi sinn a' dol a-nochd?
531486	Il ne chante pas bien.	1182014	Chan eil e math air seinn.
544970	Tu es l'amour de ma vie.	879035	'S tusa gràdh mo bheatha.
551904	Je suis d’accord avec vous.	1182033	Tha mi ag aontachadh ribh.
560046	Ma sœur est célèbre.	885830	Tha mo phiuthar ainmeil.
584500	Tu as l'air triste.	1516327	Tha coltas brònach ort.
633852	Où as-tu acheté ces chaussures ?	1516381	Càite an do cheannaich thu na brogan seo?
663092	Je travaille dans une banque.	1514143	Tha mi ag obair ann am banca.
669693	J'espère que tu vas bien.	1607562	Tha mi 'n dòchas gu bheil thu gu math.
749869	Elle a un chat blanc.	1515504	Tha cat geal aice.
791027	Où Jean vit-il ?	882029	Càite bheil Iain a' fuireach?
791028	Où Jean réside-t-il ?	882029	Càite bheil Iain a' fuireach?
794338	Je suis né à Osaka.	1516347	Rugadh mi ann an Osaka.
795872	Elle a encore commis la même erreur.	1514172	Rinn i an aon mearachd a-rithist.
795873	Elle a encore commis la même faute.	1514172	Rinn i an aon mearachd a-rithist.
838153	Je l'ai rencontré juste une fois.	882858	Chan eil mi air a choinneachadh ach turas a-mhàin.
844131	Qu'es-tu en train de faire ?	770525	Dè tha thu a' dèanamh?
848705	Voici mon vélo.	1516526	Seo an rothair agam.
858520	J'ai oublié mon adresse de courrier électronique.	1514056	Tha mi air mo sheòladh post-dealain a dhìochuimhneachadh.
869045	Fait-il aussi chaud chaque jour ?	885831	A bheil e cho teth a h-uile latha?
869099	C'est difficile.	1535616	Tha seo doirbh.
890856	Nara est aussi vieille que Kyoto.	1515924	Tha Nara cho sean ri Kyoto.
894575	Nous sommes arrivés à la gare à 6 heures.	879032	Ràinig sinn an stèisean aig sia uairean.
901771	J'ai vu une étoile aujourd'hui.	1516374	Chunnaic mi reul an-diugh.
914903	J'attends le train.	1514157	Tha mi a' feitheamh air an trèan.
937840	J'ai oublié mon adresse électronique.	1514056	Tha mi air mo sheòladh post-dealain a dhìochuimhneachadh.
938334	Je ne le comprends pas.	878982	Chan eil mi ga thuigsinn.
941057	J'ai perdu ma clef.	1515926	Tha mi air an iuchair agam a chall.
945509	Je n'ai absolument pas peur.	773121	Chan eil an t-eagal orm idir.
970566	J'aimerais la rencontrer.	879203	Bu toil leam a coinneachadh.
1014320	Je voudrais essayer cela.	1516353	Bu mhath leam sin fheuchainn.
1037587	Tu fais quoi ?	770525	Dè tha thu a' dèanamh?
1042518	Il est allé à l'étranger l'an dernier.	1527885	Chaidh e thall thairis an-uiridh.
