3123	Ne t'inquiète pas.	465950	Не брини.
3142	Est-ce que tu es sûr ?	548790	Да ли си ти сигуран?
3464	Je m'appelle Jack.	466258	Зовем се Џек.
3467	Comment est-ce qu'on dit ça en italien ?	478234	Како се каже то на италијанском?
3476	Comment est-ce que tu t'appelles ?	468349	Како се ти зовеш?
3989	Où es-tu ?	396724	Где си ти?
4205	Mieux vaut tard que jamais.	414465	Боље икад него никад.
6641	Je suis professeur.	478981	Ја сам професор.
6692	Je suis étudiant.	466228	Ја сам студент.
10391	Es-tu étudiant ?	478637	Да ли си ти студент?
10913	Bon anniversaire !	398928	Срећан рођендан!
13362	Bob est une personne gentille.	1057422	Боб је пријатан човек.
13436	Au revoir !	2738964	Довиђења!
14957	Les planètes tournent autour d'une étoile.	1193122	Планете се окрећу око звезде.
119811	Salut, Tom.	466204	Ћао, Томе.
128311	Les mains en l'air !	392453	Руке увис!
129322	Il vaut mieux tard que jamais.	414465	Боље икад него никад.
129332	Ne sois pas en retard.	396747	Немој каснити.
129761	Comment dit-on « merci » en japonais ?	478224	Како се каже „Хвала“ на јапанском?
129768	Le japonais est notre langue maternelle.	1074426	Јапански језик је наш матерњи језик.
130446	Son nom est Tomoyuki Ogura.	468587	Зове се Томојуки Огура.
130693	Il est Américain.	481660	Он је Американац.
132332	Il est mon ami.	490782	Он је мој друг.
133505	C'est un garçon intelligent.	1046011	Он је интелигентан дечак.
133627	Personne ne doute de son aptitude pour le poste.	716620	Niko ne sumnja u njegovu sposobnost za tu poziciju.
135241	Es-tu sûr ?	548790	Да ли си ти сигуран?
139705	Comment tu t'appelles ?	468349	Како се ти зовеш?
335764	Il y a un grand nombre de galaxies dans l'univers.	890855	Postoji mnogo galaksija u univerzumu.
336986	Qu'en penses-tu ?	1280782	Шта ви мислите о томе?
337037	C'est un livre.	482796	Ово је књига.
338111	Comment vous appelez-vous ?	476824	Како се зовете?
338186	Elle m'a dit : « Je t’aime. »	888226	Rekla mi je, "Ja te volim."
340455	Bonjour, comment ça va ?	476800	Добар дан, како си?
341331	Il a le cœur brisé.	2441638	Сломљено му је срце.
348411	Je suis Jorge.	665331	Ja sam Jorge.
353233	Son nom est Lucifera.	488765	Она се зове Луцифера.
356201	Qui es-tu ?	466242	Ко си ти?
356202	Qui êtes-vous ?	490796	Ко сте ви?
367104	Je ne sais pas ce que c'est.	1080579	Ја не знам шта је то.
373456	Tes chaussures sont ici.	471601	Твоје ципеле су овде.
373848	Dans l’univers il y a beaucoup de galaxies.	890855	Postoji mnogo galaksija u univerzumu.
373986	Je ne sais pas ce que c’est.	1080579	Ја не знам шта је то.
388259	Comment dit-on XXX en néerlandais ?	478252	Како се каже XXX на холандском језику?
392299	Enfin !	392448	Коначно!
393406	Comment s'est passé le cours de français ?	393404	Како је прошао час француског?
394941	L'étudiant est optimiste, mais son conseiller est un pessimiste.	394942	Студент је оптимиста, а његов саветник песимиста.
396118	L'inverse d'une matrice non-carrée est une chose dangereuse.	396127	Инверз неквадратне матрице је опасна ствар.
397262	Il a commencé à neiger.	396695	Почео је да пада снег.
