3250	Je t'aime !	735094	Ľúbim ťa.
3464	Je m'appelle Jack.	2428509	Volám sa Jack.
3651	La vie est belle.	600004	Život je pekný.
3989	Où es-tu ?	1317943	Kde si?
6997	Je ne vais nulle part.	1056401	Nikam nejdem.
10665	Peu importe l'âge, un enfant est un enfant.	1336554	Nezáleži na veku, dieťa je dieťa.
10667	De nombreux livres furent volés.	1336562	Ukradnutých bolo veľa kníh.
10668	Quoi qu'elle mange, elle ne grossit pas.	1336563	Je jedno čo je, nepriberá.
10669	Peu importe que nous soyons proches ou non, je ne peux pas lui demander de faire cela.	1336566	Nezáleží na tom ako sme si blízki, nemôžem mu to dať urobiť.
10670	Dans tous les cas, si vous voulez en savoir plus sur mon pays, je vous enverrai une lettre quand je serai chez moi.	1336574	V každom prípade, ak chceš vedieť viac o mojej krajine, pošlem ti list, keď budem u seba doma.
10671	Quoi qu'il arrive, je sortirai quand il ne pleuvra plus.	1336579	V každom prípade, pôjdem keď prestane pršať.
10674	Approchez votre chaise du feu.	1336587	Prisuň si sloličku bližšie k ohňu.
10676	L'Italie est bordée, au nord, par la Suisse.	1336588	Taliansko hraničí so Švajčiarskom na severe.
11199	Ne jouez pas au base-ball ici.	1036401	Nehrajte tu bejsbal.
14904	Ma maison est près de la gare.	572301	Môj dom je blízko vlakovej stanice.
3114037	Je suis un peu fatigué.	1065084	Som trochu unavený.
130689	Il parle trop vite.	1006170	On hovorí príliš rýchlo.
359019	Personne n'est trop vieux pour apprendre.	1036075	Na učenie nikdy nie je neskoro.
391060	Que se passe-t-il ?	601591	Čo sa tam deje?
414518	Les yeux sont le miroir de l'âme.	1320372	Oči sú zrkadlom duše.
426107	Est-ce que tu parles allemand ?	1036438	Hovoríš po nemecky?
449035	Je suis jeune.	1065106	Som mladý.
449035	Je suis jeune.	1065107	Som mladá.
463997	Je n'ai encore rien trouvé.	1317993	Ja som ešte nič nenašiel.
676032	On a posé à mon oncle le diagnostic de leucémie.	2106903	Môjmu strýkovi diagnostikovali leukémiu.
730671	Ma langue maternelle est le plus beau cadeau que j'ai reçu de ma mère.	735095	Môj rodný jazyk je najkrajší dar, ktorý som získal od mojej matky.
823215	J'ai perdu mon passeport !	1047011	Stratil som svoj pas!
1232286	Tu n'es pas trop vieux pour apprendre.	1036075	Na učenie nikdy nie je neskoro.
1290199	Sésame, ouvre-toi !	1336501	Sézam, otvor sa!
1317542	Tu m'as sauvé la vie.	1060004	Zachránil si mi život.
1317553	Tu viens souvent ici ?	1059845	Chodíš sem často?
1317556	Ne l'exposez pas à la pluie !	1036044	Nevystavujte to dažďu!
