454796	C'est le stylo avec lequel il a signé le document.	9732349	ⵡⴰⴷ ⴷ ⴰⵖⴰⵏⵉⴱ ⵏⵏⴰ ⵙ ⵉⵙⴳⵎⴹ ⴰⵔⵔⴰ
1188575	Assez de rêves !	9732364	ⵢⵓⴷⴰ ⴳ ⵜⵡⴰⵔⴳⵉⵡⵉⵏ !
5685533	Tom ne lit pas.	9742231	ⵓⵔ ⴰⵔ ⵢⴰⵇⵇⵔⴰ ⵜⵓⵎ.
5502193	Je ne veux pas que tu fasses ça, Tom.	9832634	Ur riɣ a teskrt ɣikkn a Tom.
9852644	Chef du gouvernement.	9852607	ⴰⵏⵙⵙⵉⵅⴼ ⵏ ⵜⵏⴱⴰⴹⵜ.
9852649	Cabine du chef du gouvernement.	9852609	ⴰⴱⵔⵙⵉⵔⴰ ⵏ ⵓⵏⵙⵙⵉⵅⴼ ⵏ ⵜⵏⴱⴰⴹⵜ.
9852655	Ministère d'état.	9852613	ⵜⴰⵎⴰⵡⴰⵙⵜ ⵏ ⵓⵡⴰⵏⴽ.
9852666	Secrétaire général.	9852614	ⵉⵎⵉⵔⵉ ⴰⵎⴰⵜⴰⵢ.
9852672	Direction des affaires administratives et financières.	9852618	ⵜⴰⵎⵀⵍⴰ ⵏ ⵜⵖⴰⵡⵙⵉⵡⵉⵏ ⵜⵉⵎⵙⵙⵓⴳⴰⵔ ⴷ ⵜⵥⵕⴼⴰⵏⵉⵏ.
9852675	Observatoire national du développement humain.	9852619	ⴰⵙⴰⴹⴰⴼ ⴰⵏⴰⵎⵓⵔ ⵏ ⵜⴳⵎⵉ ⵜⴰⵏⴼⴳⴰⵏⵜ.
9852679	Haut commissariat au plan.	9852622	ⵜⴰⵙⵎⵉⵔⵉⵜ ⵜⴰⵎⴰⵜⵜⴰⵢⵜ ⵉ ⵓⵙⵖⵉⵡⵙ.
9852687	Haut commissariat aux eaux et forêts et à la lutte contre la désertification.	9852625	ⵜⴰⵙⵎⵉⵔⵉⵜ ⵜⴰⵎⴰⵜⵜⴰⵢⵜ ⵉ ⵡⴰⵎⴰⵏ ⴷ ⵜⴰⴳⴰⵏⵉⵏ ⴷ ⵓⵙⴱⴷⴷⵉ ⵏ ⵓⵙⵏⵣⵔⵓⴼ.
9852693	Délégation générale à l'administration pénitentiaire et à la réinsertion.	9852628	ⵜⴰⵙⵎⵉⵔⵉⵜ ⵜⴰⵎⴰⵜⵜⴰⵢⵜ ⵉ ⵜⵎⵙⵙⵓⴳⵓⵔⵜ ⵜⴰⵎⵙⴳⴳⴷⵜ ⴷ ⵡⴰⵍⵍⴰⵙ ⵏ ⵓⵙⵉⴷⴼ.
9852722	Primature.	9852697	ⵜⴰⵏⵙⵙⵉⵅⴼⵜ ⵏ ⵜⵏⴱⴰⴹⵜ.
9852726	Haut commissariat aux anciens résistants et anciens membres de l'armée de libération du royaume du Maroc.	9852701	ⵜⴰⵙⵎⵉⵔⵉⵜ ⵜⴰⵎⴰⵜⵜⴰⵢⵜ ⵏ ⵉⵏⵣⴱⴰⵢⵏ ⵉⵇⵇⴱⵓⵔⵏ ⴷ ⵉⴳⵎⴰⵎⵏ ⵏ ⵜⵙⵔⴷⴰⵙⵜ ⵏ ⵓⵙⴷⵔⴼⵉ ⵏ ⵜⴳⵍⴷⵉⵜ ⵏ ⵓⵎⵓⵔⵏⵡⴰⴽⵓⵛ.
9852729	Ministère de la justice.	9852703	ⵜⴰⵎⴰⵡⴰⵙⵜ ⵏ ⵜⵣⵔⴼⵜ.
9852732	Ministre.	9852704	ⴰⵎⴰⵡⴰⵙ.
9852733	Cabinet.	9852705	ⴰⴱⵔⵙⵉⵔⴰ.
9852735	Chef de cabinet.	9852706	ⴰⵏⵎⵀⴰⵍ ⵏ ⵓⴱⵔⵙⵉⵔⴰ.
9852738	Conseiller.	9852709	ⴰⵎⵛⵛⵉⵡⵕ.
9852740	Chargé de la communication.	9852711	ⴰⵎⵙⵜⴳⴳⴰⵔ ⵏ ⵓⵎⵢⴰⵡⴰⴹ.
9852742	Chargé d'études.	9852714	ⴰⵎⵙⵜⴳⴳⴰⵔ ⵏ ⵜⵖⵓⵔⵉⵡⵉⵏ.
9852745	Secrétariat général.	9852715	ⵜⵉⵎⵉⵔⵉⵜ ⵜⴰⵎⴰⵜⴰⵢⵜ.
9852747	Inspection général.	9852716	ⵜⴰⵎⴳⴳⵉⵡⵙⵜ ⵜⴰⵎⴰⵜⴰⵢⵜ.
9852748	Direction des affaires civiles.	9852718	ⵜⴰⵎⵀⵍⴰ ⵏ ⵜⵖⴰⵡⵙⵉⵡⵉⵏ ⵜⵓⵖⵔⵉⵎⵉⵏ.
9852770	Direction des affaires pénales et des grâces.	9852752	ⵜⴰⵎⵀⵍⴰ ⵏ ⵜⵖⴰⵡⵙⵉⵡⵉⵏ ⵜⵉⵏⴱⴽⴰⴹⵉⵏ ⴷ ⵓⵙⵓⵔⴼ.
9852772	Direction des ressources humaines.	9852753	ⵜⴰⵎⵀⵍⴰ ⵏ ⵉⵙⵓⴳⴰⵎ ⵉⵏⴼⴳⴰⵏⵏ.
9852775	Division des juridictions communales et d'arrondissements.	9852756	ⵜⴰⵣⵓⵏⵉ ⵏ ⵜⵙⵏⴱⴹⴰⵢ ⵏ ⵜⵏⴳⵔⴰⵡⵉⵏ ⴷ ⵜⵙⵓⵏⴰⴹ.
9852777	Direction du budget et du contrôle.	9852757	ⵜⴰⵎⵀⵍⴰ ⵏ ⵜⵎⵙⴰⵙⵜⵍⵜ ⴷ ⵜⵉⴹⴰⴼ.
9852779	Direction de la gestion du patrimoine et de l'equipement.	9852760	ⵜⴰⵎⵀⵍⴰ ⵏ ⵓⵙⵡⵓⴷⴷⵓ ⵏ ⵡⴰⵢⴷⴰ ⴷ ⵓⵎⴰⵡⴰ.
9852780	Direction des études de la coopération et de la modernisation.	9852761	ⵜⴰⵎⵀⵍⴰ ⵏ ⵜⵖⵓⵔⵉⵡⵉⵏ ⴷ ⵓⵎⵢⴰⵡⴰⵙ ⴷ ⵓⵙⵜⵔⴰⵔ.
9852782	Centre de suivi et d'analyse des requêtes.	9852762	ⴰⵎⵎⴰⵙ ⵏ ⵓⴹⴼⴼⵓⵕ ⴷ ⵓⵙⴼⵙⵉ ⵏ ⵉⵙⵓⵜⴰⵔ.
9852786	Administration des œuvres sociales des magistrats et fonctionnaires de la justice.	9852765	ⵜⴰⵎⵙⵙⵓⴳⵓⵔⵜ ⵏ ⵉⴳⵉⵜⵏ ⵉⵏⴰⵎⵓⵏⵏ ⵉⵏⴱⴹⴰⵢⵏ ⴷ ⵉⵎⵙⵖⴰⵏⵏ ⵏ ⵜⵣⵔⴼⵜ.
9852789	Secrétariat du conseil supérieur de la magistrature.	9852766	ⵜⵉⵎⵉⵔⵉⵜ ⵏ ⵓⵙⵇⵇⵉⵎ ⴰⵏⴰⴼⵍⵍⴰ ⵏ ⵜⵏⴱⴹⴰⵢⵜ.
9852792	Institut supérieur de la magistrature.	9852767	ⴰⵙⵉⵏⴰⴳ ⴰⵏⴰⴼⵍⵍⴰ ⵏ ⵜⵏⴱⴹⴰⵢⵜ.
9852794	Cour suprême.	9852769	ⵜⴰⵙⵏⴱⴹⴰⵢⵜ ⵜⴰⵏⴰⴼⵍⵍⴰⵜ.
1698526	Le corbeau s'est envolé.	9857435	Ifarra ugaywar.
332363	Deux corbeaux volent dans le ciel.	9857437	Tfrran san n igaywarn ɣ ignna.
