3100	Je ne sais pas.	487168	Jag vet inte.
3115	Je gagne 100 € par jour.	1975234	Jag tjänar 100 euro om dagen.
3117	C'est parce que tu ne veux pas être seul.	2109945	Det är för att du inte vill vara ensam.
3219	Merci pour ton explication.	409673	Tack för din förklaring.
3251	Je ne t'aime plus.	2135512	Jag tycker inte om dig längre.
3319	Veux-tu quelque chose à boire ?	2109947	Vill du ha nånting att dricka?
3319	Veux-tu quelque chose à boire ?	2110577	Vill du ha någonting att dricka?
3354	Si on ne mange pas, on meurt.	1126304	Äter man inte dör man.
3473	Veux-tu danser avec moi ?	2109950	Vill du dansa med mig?
3494	Quel âge as-tu ?	742910	Hur gammal är du?
3543	Joyeux Noël !	1192004	God jul!
3655	Je n'en peux plus ! Ça fait trois jours que je n'ai pas dormi !	704641	Jag orkar inte mer! Jag har inte sovit på tre dagar!
3684	Je ne veux pas aller à l'école.	1962460	Jag vill inte gå till skolan.
3874	Je veux un bonbon.	2109957	Jag vill ha en karamell.
3914	L'atmosphère de cet endroit est mystérieuse.	410147	Det här stället har en mystisk atmosfär.
3924	Je veux être plus indépendant.	2109958	Jag vill vara mera självständig.
3924	Je veux être plus indépendant.	2110585	Jag vill vara mer självständig.
6145	Où habites-tu ?	1804246	Var bor du?
6393	Je suis désolé pour ce malentendu.	1126396	Jag beklagar detta missförstånd.
6705	Je suis prêt.	1126398	Jag är redo.
6936	Je peux courir aussi vite que Bill.	2280677	Jag kan springa lika snabbt som Bill.
7167	Je veux voir le film.	2110026	Jag vill se filmen.
7472	Je vais rester ici jusqu'à après-demain.	923144	Jag stannar här till i övermorgon.
7627	Ma mère adore le thé.	665755	Min mor tycker mycket om te.
7637	Ma chambre est très petite.	1433425	Mitt rum är mycket litet.
7764	Un peu plus de lait dans mon thé, s'il vous plaît.	665773	Lite mer mjölk i kaffet, tack.
7765	Mon idée est différente de la vôtre.	964400	Min åsikt skiljer sig från din.
7796	Quelques-uns de mes camarades de classe aiment le volley-ball tandis que d'autres apprécient le tennis.	1504479	Några av mina klasskamrater gillar volleyboll, medan andra gillar tennis.
7886	Pour ma part, je préfère la bière au whisky.	2109458	För min del föredrar jag öl framom whisky.
7886	Pour ma part, je préfère la bière au whisky.	2109460	Personligen föredrar jag öl framom whisky.
7886	Pour ma part, je préfère la bière au whisky.	2110593	Personligen föredrar jag öl framför whisky.
7886	Pour ma part, je préfère la bière au whisky.	2110594	För min del föredrar jag öl framför whisky.
7940	J'ai deux frères.	498463	Jag har två bröder.
8010	Notre école a 80 ans.	1583916	Vår skola är åttio år gammal.
8598	Donne-moi une tasse de thé s'il te plaît.	665747	Ge mig en kopp te, är ni snäll.
8599	Que pensez-vous d'une tasse de thé ?	665743	Hur skulle det vara med en kopp te?
8600	Il m'a apporté un café, alors que j'avais demandé un thé.	665768	Han gav mig kaffe trots att jag hade bett om te.
8928	N'es-tu pas fatigué ?	495187	Är du inte trött?
8993	S'il vous plaît, continuez votre histoire.	2109457	Var snäll och fortsätt med din historia.
9176	Un miroir reflète la lumière.	2785964	En spegel reflekterar ljus.
9249	Le malheur ne vient jamais seul.	2103708	En olycka kommer sällan ensam.
9298	M. Yoshida n'a jamais rompu sa promesse.	1125599	Herr Yoshida har aldrig brutit ett löfte.
10146	J'ai faim !	409599	Jag är hungrig.
10258	Je t'ai donné un livre.	1962323	Jag gav dig en bok.
10423	Parles-tu japonais ?	2116821	Talar du japanska?
10869	J'ai de l'argent.	546956	Jag har lite pengar.
10919	Voudriez-vous une tasse de thé ?	665782	Skulle ni vilja ha en kopp té?
10920	Donnez-moi un peu plus de thé.	665781	Ge mig lite mer te.
10922	Venez prendre le thé avec moi.	665779	Kom och drick te med mig.
11387	Je voudrais expédier ce paquet au Canada.	1359514	Jag vill sända detta paket till Kanada.
11751	Jack fait la collection de timbres.	1959152	Jack samlar på frimärken.
12318	C'est dans le but de bien entendre votre voix.	546951	Det är för att jag ska höra din röst ordentligt.
13307	Paula doit aider son père dans la cuisine.	651204	Paula måste hjälpa hennes pappa i köket.
13567	Je ne peux pas attendre plus longtemps.	2112173	Jag kan inte vänta längre.
13739	Écoute bien.	849895	Lyssna noga!
13849	Je suis à la maison.	3012661	Jag är hemma.
14273	Je ne suis pas du même avis que toi.	964400	Min åsikt skiljer sig från din.
14317	Il faut que j'y aille maintenant.	893157	Jag måste bege mig nu.
14325	Je parle anglais.	3278574	Jag talar engelska.
14885	Mon père se promène tous les jours.	410136	Min pappa promenerar varje dag.
3507508	Merci pour l'information.	1433512	Tack för informationen.
15276	Regardez cet immeuble rouge.	2109443	Se på den där röda byggnaden.
127758	Il ne devrait pas revenir ici.	491544	Han borde inte komma tillbaka hit.
129070	Mes pieds me font mal.	1126140	Jag har ont i fötterna.
130682	Il est seulement un amateur.	2029396	Han är bara en amatör.
130757	Il se plaint toujours de son traitement médical.	353824	Han gnäller alltid på dålig medicinsk behandling.
130873	Il n'aime pas le café.	2145649	Han tycker inte om kaffe.
131174	Il est peut-être rentré à la maison par un autre chemin.	2135514	Han kan ha gått en annan väg hem.
131189	Il se fatigue facilement.	1962330	Han blir lätt trött.
131404	C'est un gentleman.	661811	Han är en gentleman.
131422	Il est fier d'être musicien.	1126364	Han är stolt över att vara musiker.
131666	Il aime beaucoup la musique.	1138521	Han tycker mycket om musik.
131841	Il habite à Kyôto.	677002	Han bor i Kyoto.
132287	C'est mon frère, pas mon père.	891686	Han är min bror, inte min far.
133066	Il doit venir du Sud.	1967359	Han måste komma söderifrån.
135338	Akiko a plusieurs amis en France.	487320	Akiko har flera vänner i Frankrike.
135737	« Mes dents sont trop fragiles pour manger des pommes, » dit le garçon.	1602590	”Mina tänder är för svaga för att äta ett äpple”, sa pojken.
136030	J'ai rencontré Mary hier.	2109462	Jag träffade Mary igår.
136133	J'étais au cinéma.	1971392	Jag var på bio.
136318	Il devait ranger sa chambre.	2244844	Han måste städa sitt rum.
139019	Je suis belle.	1971329	Jag är vacker.
139241	C'est facile à faire et c'est bon marché.	1964547	Det är enkelt att göra och det är billigt.
139264	Un malheur n'arrive jamais seul.	2103708	En olycka kommer sällan ensam.
139585	La fille était occupée à préparer du thé pour son ami.	665788	Flickan höll på att koka te till åt sin kamrat.
180244	Je lui demandais de faire du thé.	665789	Jag bad honom att koka lite té.
180245	J'ai besoin d'un timbre.	2177813	Jag behöver ett frimärke.
