3945	Un, deux, trois, quatre, cinq, six, sept, huit, neuf, dix.	402075	Бер, ике, өч, дүрт, биш, алты, җиде, сигез, тугыз, ун.
8643	Casse-toi !	916370	Кит моннан!
10824	Ottawa est la capitale du Canada.	669959	Оттава — Канаданың башкаласы.
132332	Il est mon ami.	2923522	Ул минем дустым.
136324	Il m'a écrit une lettre d'amour.	2808953	Ул миңа мәхәббәт хаты язган.
236750	Lorsque vous regardez la télévision ou écoutez la radio, la musique que vous entendez est souvent d'origine africaine.	1297087	Телевизорны караганда яисә радио тыңлаганда, ишетелгән җырлар еш кына Африканың җырлары була.
331235	Pour ce que j'en sais, le roman n'est pas traduit en japonais.	2808933	Белгәнемчә, роман япон теленә тәрҗемә ителмәгән әле.
331236	Tu as fait beaucoup d'erreurs.	2808937	Бик күп хата ясагансың.
331237	J'ai quelque chose à te dire.	2808941	Сиңа әйтер сүзем бар.
331237	J'ai quelque chose à te dire.	2808942	Сиңа әйтәсе нәрсәләрем бар.
331239	Maintenant c'est l'heure de dire bonne nuit.	2808944	Хәерле төн теләргә дә вакыт җитте.
331239	Maintenant c'est l'heure de dire bonne nuit.	2808946	Тыныч йокы теләргә дә вакыт җитте.
333360	Tokyo est une très grande ville.	476557	Токио — бик зур шәһәр.
335764	Il y a un grand nombre de galaxies dans l'univers.	1058580	Галәмдә бихисап галактикалар бар.
354302	Ken a deux chats.	548016	Кенның ике мәчесе бар.
355161	Je ne regarde pas la télévision.	450139	Мин телевизор карамыйм.
373848	Dans l’univers il y a beaucoup de galaxies.	1058580	Галәмдә бихисап галактикалар бар.
374031	C’est un bon manuel.	475489	Бу — яхшы дәреслек.
374826	Merci !	397317	Рәхмәт!
378280	Il fait chaud aujourd'hui.	1062787	Бүген кыздыра.
390247	Je viens d'Australie.	1012726	Мин Австралиядан.
400829	Il y a peu de sites en langue Tatar sur Internet.	400802	Интернетта татар телендә сайтлар аз.
400829	Il y a peu de sites en langue Tatar sur Internet.	400825	Интернетта татарча сайтлар аз.
400874	Il y a une pomme en dessous du bureau.	400872	Өстәл астында алма бар.
400875	Il y a une pomme sur le bureau.	400870	Өстәлдә алма бар.
400875	Il y a une pomme sur le bureau.	400871	Өстәлдә бер алма бар.
