442316	Nous ne négocions pas avec les terroristes.	1197488	Njewuradźujemy z teroristami!
838138	Peut-être connaît-il cette histoire.	1253122	Snadź wón znaje tutu stawiznu.
1329900	Combien de langues y a-t-il en Europe ?	1256247	Kelko rěčow je w Europje?
8232557	Je serai là demain.	2295294	Budu jutře tam być.
828772	Elle n'est ni riche, ni connue.	1279239	Wona njeje bohata ani sławna.
2509874	Je suis.	8677748	Ja sym.
4593069	Je parle le russe.	9835697	Rěču rusce.
6002575	Je parle espagnol.	9835704	Rěču španisce.
4585802	Je danse.	9844172	Rejuju.
9837717	Où est la pomme ?	9860228	Hdźe je jabłuko?
7919912	Le livre est bleu.	9860638	Kniha je módra.
2654925	La femme mange du pain.	9867780	Žona jě chlěb.
