3945	Un, deux, trois, quatre, cinq, six, sept, huit, neuf, dix.	1560616	אײנס, צװײ, דרײַ, פֿיר, פֿינף, זעקס, זיבן, אַכט, נײַן, צען.
4099	Ça semble intéressant. Qu'est-ce que tu lui as dit ?	1557361	עס קלינגט אינטערעסאַנט. װאָס האָסטו איר דערצײלט?
6725	Je suis libre.	1561426	איך בין פֿרײַ.
10954	Je ne peux pas te remercier assez.	1417233	איך קען דיר נישט דאַנקן גענוג.
138840	Elle avait le mal du pays.	1560892	זי האָט געבענקט אַהײם.
413914	Aujourd'hui, il a fait très chaud.	1564992	הײַנט איז געווען זײער הײס.
428437	Elle a eu une enfance heureuse.	1417252	אירע קינדער-יאָרן זענען געווען גוט.
604517	Je ne vis plus rien.	1557489	איך האָב גאָרנישט געזען.
632834	John a accompagné Mary au concert.	1417259	יאנקעלע איז געגאנגען צו די קאָנצערט מיט מלכה'לע
678658	Je suis aimé.	1557741	מען האָט מיך ליב.
816614	J'ai dit que je pourrais, pas que je voudrais.	1557733	איך האָב געזאָגט אַז איך קען דאָס טאָן, נישט אַז איך װעל טאָן.
1018296	Tom est mon ami.	843896	טאָם איז מײַן כבר.
1110000	Il n'est pas mon père.	1585535	ער איז נישט מײַן טאַטע.
1356089	Elle nous a dit de ne pas faire un bruit.	1557427	זי האָט אונדז געבעטן נישט צו מאַכן קײן טומל.
1557171	Ils ne s'intéressent guère à toutes ces questions philosophiques.	1557246	זײ האָבן קײן אינטערעס אין די פֿילאָזאָפֿישע פֿראַגעס.
1966641	Pas que je sache.	2401829	לויט מיר, ניין.
4721095	Où est le bureau de Tom ?	4354338	וואו איז טאם׳ס אפיס?
4722568	Il a une barbe.	4348271	ער האט א בארד.
4722580	Qu'elle est belle !	4325454	ווי שיין זי איז!
4739343	Il n'est pas mon cousin.	4730409	ער איז נישט מיין קוזין.
4739348	S'il te plaît, dis-moi seulement ce que tu veux faire.	4730405	ביטע בלויז זאג מיר וואס עס איז וואס דו ווילסט טאן.
4739349	Tu ne viens pas ?	4730403	קומסטו נישט?
4743851	Je vais à la bibliothèque au moins une fois par semaine.	4743300	איך גיי צו דער ביבליאטעק לפחות איין מאל א וואך.
4821758	Veux-tu aller nager avec moi ?	4743279	ווילסטו גיין שווימען מיט מיר?
3660813	Tu es ma fille.	4802722	דו ביסט מיינע טאכטער.
4827080	Où est la salle de bain ?	4802721	וואו איז דער באדצימער?
4832986	J'ai passé un bon moment hier.	4743273	איך האב געהאט א גוטע צייט נעכטן.
4832987	Pourquoi veux-tu apprendre cette langue ?	4730396	פארוואס ווילסטו לערנען דעם שפראך?
4832988	Tout le monde a ri, sauf Tom.	4728836	אלע מענטשן האבן געלאכט, חוץ טאם.
4843692	La maison est belle.	392334	דאָס הױז איז שײן.
6083513	C'est mon autre sœur.	5710229	דאס איז מיין אנדערע שוועסטער.
126570	Il est bon pour nous de manger des légumes tous les jours.	6205991	עס איז גוט פֿאַר אונדז צו עסן וועדזשטאַבאַלז יעדער טאָג.
2190346	Il est mort.	6673806	ער איז געשטאָרבן.
2028220	La propriété, c'est le vol.	7025288	אייגנטום איז גנבֿה.
1041603	C'est une bonne question.	7057272	דאָס איז אַ‎ גוטע פֿראַ‎גע.
1142712	De rien !	7878224	נישטאָ פֿאַרוואָס.
397490	De rien.	7878224	נישטאָ פֿאַרוואָס.
1142712	De rien !	7878226	נישטאָ פֿאַרוואָס!
5494835	Il n'y a pas de quoi !	7878226	נישטאָ פֿאַרוואָס!
397490	De rien.	7878226	נישטאָ פֿאַרוואָס!
1609111	Il n'y a pas de quoi.	7878226	נישטאָ פֿאַרוואָס!
4548431	La famille, c'est la famille.	7878242	משפּחה איז משפּחה.
7044186	Ils ont une famille.	7878243	זיי האָבן אַ משפּחה.
7044187	Elles ont une famille.	7878243	זיי האָבן אַ משפּחה.
375871	Pourquoi ?	7878255	פֿאַרװאָס?
7018330	Tu es comme ta sœur.	7879678	דו ביסט װי דײַן שװעסטער.
2928479	Nous avons marché.	7879711	מיר זענען געגאַנגען.
4947745	Nous sommes allés à pied.	7879711	מיר זענען געגאַנגען.
4947746	Nous sommes allées à pied.	7879711	מיר זענען געגאַנגען.
2231620	J’ai chanté.	7879738	איך האָב געזונגען.
2932957	Tom a craché.	7879745	טאָם האָט געשפּיגן.
2931059	Tom a chanté.	7879749	טאָם האָט געזונגען.
6982666	Ils veulent partir.	7879809	זיי װילן אַוועקגיין.
377224	Il a un chien.	7882959	ער האָט אַ הונט.
7851611	Elle a un chien.	7882962	זי האָט אַ הונט.
4696185	Il a un chat.	7882963	ער האָט אַ קאַץ.
1840867	Le yiddish s'écrit au moyen de l'alphabet hébraïque.	7884787	מע שרײַבט ייִדיש‎ מיטן העברעיִשן אַלף־בית.
1907789	C'est une pute.	7884693	זי איז אַ קורווע.
2507856	Bonne nuit.	7886539	אַ גוטע נאַכט.
2786958	Moi, Qohélet, j'ai été roi d'Israël à Jérusalem.	2789441	איך קהלת בין געװען אַ מלך איבער ישׂראל אין ירושלים.
14570	C'était certainement une belle femme quand elle était jeune.	1560564	אַװדאי איז זי געװען אַ שײנע פֿרױ װען זי איז געװען יונג.
515590	Ce livre était très intéressant.	1559138	דאָס בוך איז געװען זײער אינטערעסאַנט.
7901069	Le chat de Tom est malade.	7903921	טאָמס קאַץ איז קראַנק.
7901062	Tom ne voit pas souvent son frère.	7904965	טאָם זעט זײַן ברודער נישט אָפֿט.
2382120	Tom devenait muet.	7885655	טאָם איז געוואָרן שטום.
2905944	Tom est devenu muet.	7885655	טאָם איז געוואָרן שטום.
427110	Bonne nuit !	7886580	אַ גוטע נאַכט!
1179421	Où est ton frère ?	1417440	אווו איז דיין ברודער?
1316436	Tout mon corps est endolori.	1558088	עס טוט מיר װײ דער גאַנצער קערפּער.
949387	Au début, dans la mythologie grecque, l'histoire de l'Europe était une histoire d'amour.	949252	אין אָנהייב, אין דער גריכישער מיטאָלאָגיע, איז די מעשה פֿון אייראָפע געווען אַ ליבע־געשיכטע.
3146971	La pomme est rouge.	7927751	דער עפּל איז רויט.
5366748	La pomme est rouge et jaune.	7927755	דער עפּל איז רױט און געלב.
7683506	C'est la pomme de John.	7927763	ער איז דזשאָנס עפּל.
1385394	Nager, c'est facile.	7928151	שװימען איז גרינג.
564191	C'est facile.	7928157	ס'איז גרינג.
6465581	Est-ce bleu ?	7929432	צי עס איז בלױ?
342114	Le ciel est bleu.	7929442	דער הימל איז בלױ.
6465581	Est-ce bleu ?	7942467	צי איז דאָס בלוי?
397589	Je suis ingénieur.	7950033	איך בין אַן אינזשעניר.
378278	Je suis d'accord.	7958158	כ'בין מסכּים.
395588	D'accord.	7958158	כ'בין מסכּים.
2084358	John est devenu policier.	1557206	דזשאָן איז געװאָרן אַ פּאָליציאַנט.
342114	Le ciel est bleu.	7969083	דער הימל איז בלאָ.
6465581	Est-ce bleu ?	7969088	צי איז עס בלאָ?
5762972	Qui veut apprendre le japonais ?	7969524	ווער וויל זיך לערנען יאַפּאַניש?
2292372	Il a tenu parole.	7969537	ער האָט געהאַלטן זײַן װאָרט.
2292374	Il tint parole.	7969537	ער האָט געהאַלטן זײַן װאָרט.
4871960	C'est tout ce dont j'ai besoin.	7969560	מער פֿעלט מיר נישט.
4871960	C'est tout ce dont j'ai besoin.	7969561	מער פֿעלט מיר ניט.
6809779	Sami a appris l'arabe.	7969740	סאַמי האָט זיך געלערנט אַראַביש.
5241789	Elle parle l'arabe.	7969735	זי רעדט אַראַביש.
4050028	Je parle arabe.	7969733	איך רעד אַראַביש.
465192	Il écrit arabe.	7969732	ער שרײַבט אַראַביש.
5603434	Tom parle français.	7969729	טאָם רעדט פֿראַנצײזיש.
5829921	Tom comprend le français.	7969728	טאָם פֿאַרשטײט פֿראַנצײזיש.
4681825	Je sais le français.	7969727	איך קען פֿראַנצײזיש.
2354750	Qui parle français ?	7969726	װער רעדט פֿראַנצײזיש?
7280544	Tu parles bangla ?	7979693	צי רעדסטו בענגאַליש?
1019531	Quand les poules auront des dents !	7981337	ווען משיח וועט קומען!
4429323	Que tout aille se faire foutre !	7996102	אין דר'ערד אַרײַן מיט אַלץ.
477136	Oui.	8011474	יאָ.
403910	Va te faire foutre !	8075080	גיי קאַקן אויפֿן ים!
1611032	Ceci n'est pas une pipe.	8076585	דאָס איז ניט קיין פּיפּקע.
1611032	Ceci n'est pas une pipe.	8076587	דאָס איז נישט קיין פּיפּקע.
1611032	Ceci n'est pas une pipe.	8076594	דאָס איז נישט קיין ליולקע.
1611032	Ceci n'est pas une pipe.	8076593	דאָס איז ניט קיין ליולקע.
1611032	Ceci n'est pas une pipe.	8076605	דאָס איז נישט קיין פֿײַקע.
1611032	Ceci n'est pas une pipe.	8076604	דאָס איז ניט קיין פֿײַקע.
7526466	Je sais que Tom est un voleur.	8082126	איך װײס אַז טאָם איז אַ גנבֿ.
6877798	Tom est un voleur et un menteur.	8082124	טאָם איז אַ גנבֿ און אַ דובֿר־שקרים.
6877798	Tom est un voleur et un menteur.	8082122	טאָם איז אַ גנבֿ און אַ ליגנער.
7526466	Je sais que Tom est un voleur.	8082100	איך װײס טאָם איז אַ גנבֿ.
1430310	Tom est un voleur.	8082099	טאָם איז אַ גנבֿ.
435779	C'est un voleur.	8082548	ער איז אַ גנבֿ.
6153729	Tu es un voleur.	8082551	דו ביסט אַ גנבֿ.
6153730	Tu es une voleuse.	8082554	דו ביסט אַ גנבֿטע.
1836665	Je ne suis pas un voleur.	8082560	איך בין ניט קײן גנבֿ.
1836665	Je ne suis pas un voleur.	8082561	איך בין נישט קײן גנבֿ.
1836666	Je ne suis pas une voleuse.	8082565	איך בין נישט קײן גנבֿטע.
1836666	Je ne suis pas une voleuse.	8082563	איך בין ניט קײן גנבֿטע.
890705	Le soleil brillait.	8082783	די זון האָט געשײַנט.
614779	Le soleil brille.	1562088	די זון שײַנט.
1926068	Le soleil brille pour tout le monde.	8082754	די זון שײַנט פֿאַר יעדער.
3308725	Le soleil brille pour tous.	8082754	די זון שײַנט פֿאַר יעדער.
6689190	Le soleil luit pour tout le monde.	8082754	די זון שײַנט פֿאַר יעדער.
1926068	Le soleil brille pour tout le monde.	8082751	די זון שײַנט פֿאַר אַלע.
3308725	Le soleil brille pour tous.	8082751	די זון שײַנט פֿאַר אַלע.
6689190	Le soleil luit pour tout le monde.	8082751	די זון שײַנט פֿאַר אַלע.
461808	Ajoutons-nous un peu plus de sel ?	8096248	צי זאָלן מיר צולײגן אַ ביסל מער זאַלץ?
461808	Ajoutons-nous un peu plus de sel ?	8096247	זאָלן מיר צולײגן אַ ביסל מער זאַלץ?
1676007	Je suis fatigué.	8102483	כ'בין מיד.
531744	Je suis fatiguée.	8102483	כ'בין מיד.
127846	J'étais fatigué.	8102492	כ'בין געװען מיד.
2297787	J'étais fatiguée.	8102492	כ'בין געװען מיד.
4409487	J’étais fatiguée.	8102492	כ'בין געװען מיד.
127846	J'étais fatigué.	8102491	איך בין געװען מיד.
2297787	J'étais fatiguée.	8102491	איך בין געװען מיד.
4409487	J’étais fatiguée.	8102491	איך בין געװען מיד.
