80	Was ist das?	1640495	D acu-t wa?
150	Es liegt daran, dass du ein Mädchen bist.	1673979	Acku kemm d taqcict.
286	Niemand versteht mich.	1610600	Ula d yiwen ur iyi-yefhim.
635	Mit wem spreche ich?	3354920	Wukud la ssawaleɣ?
858	Ich will ein Bonbon.	1693518	Bɣiɣ taḥelwat.
917	Ich habe nicht die Kraft, es weiter zu versuchen.	1814420	Ur sɛiɣ ljehd ayyes ara kemmleɣ aneɛruḍ.
929	Das Wesen der Freiheit liegt in der Mathematik.	1835801	Tumast n tlelli nettat d tusnakt.
1191	Nachts sind alle Katzen grau.	1773109	Imcac akk d idemdamen deg tillas.
136441	Meine Frau hasst Katzen.	3284934	Tameṭṭut-inu tekṛeh imcac.
330473	Ich ähnele meiner Mutter.	1695873	Cubaɣ yemma.
340700	Ist dein Hund bissig?	1625666	Yettkerric weydi-nnek?
340883	Ich hoffe nicht.	2176982	Ssarameɣ uhu.
340945	Diese Frau hat zwei Taschen.	1804636	Tameṭṭut-inna tesɛa sin yesgaten.
341579	Katzen können im Dunkeln sehen.	1755609	Imcac zemren ad walin deg tillas.
341652	Er wohnt nicht weit weg.	2106963	Ur yebɛid wanda ay yezdeɣ.
341735	Der Satz hat keine grammatischen Fehler.	1625882	Tafyirt-nni ur llint deg-s tuccḍiwin n tjeṛṛumt.
352803	Ich will noch ein bisschen schlafen.	1689868	Bɣiɣ ad rnuɣ cwiṭ n yiḍes.
353256	In der Nähe liegt eine Bushaltestelle.	1804556	Tella trusi n usakac deg lqerban-a.
358214	„Wo ist sein Buch?“ – „Es liegt auf dem Tisch.“	1654127	"Anda-t wedlis-nnes?" "Atan ɣef tdabut."
360586	Darum mag ich keine Katzen.	2294738	Daymi kṛiɣ imcac.
360586	Darum mag ich keine Katzen.	3384141	Daymi ur ḥemmleɣ ara imcac.
361116	London liegt an der Themse.	1695935	London tezga-d ɣef wasif n Thames.
361143	Vor Gott sind alle Menschen gleich.	1906651	Sdat Ṛebbi, medden akk ɛedlen.
362265	Auf dem Tisch war eine Katze.	1763544	Yella yiwen n wemcic ɣef tdabut-nni.
362645	Er spielt Musik.	2069836	La yekkat aẓawan.
363118	Sie gab der Katze Milch.	1781377	Tefka-as akeffay i wemcic-nni.
365883	Ist noch Platz für eine weitere Person?	1631937	Yella kra n wemkan akken ad d-yernu yiwen?
365920	Ich mag Englisch nicht.	1764211	Ur ḥemmleɣ tanglizit.
368822	Obwohl ich erschöpft war, arbeitete ich weiter.	1602444	Ɣas ɛyiɣ, kemmleɣ lxedma.
368822	Obwohl ich erschöpft war, arbeitete ich weiter.	1986530	Ɣas fecleɣ, maca kemmleɣ axeddim.
369643	Ich bin stolz auf meinen Sohn.	1732790	Feṛḥeɣ s memmi.
372459	Katzen mögen kein Wasser.	2318587	Imcac ur ḥemmlen aman.
384198	Ich liebe die Natur.	1625543	Ḥemmleɣ agama.
387985	Ich wünsch dir viel Glück.	1732775	Ssarameɣ-ak afud igerrzen.
399062	Sie erzielten eine Einigung mit ihrem Feind.	2384799	Ssawḍen ɣer yiwen n wemtawa akked ucengu-nsen.
399062	Sie erzielten eine Einigung mit ihrem Feind.	2384800	Ssawḍen ɣer yiwen n wemtawa akked weɛdaw-nsen.
406173	Lass die Katze nicht aus dem Sack.	1770258	Ejj anu s tadimt-nnes.
411159	Ich werde zuhause bleiben.	1755399	Ad qqimeɣ deg wexxam.
413523	Ich bin eine Katze. Ich habe noch keinen Namen.	1735613	Nekk d amcic, maca werɛad ur sɛiɣ isem.
424245	Mein Kanarienvogel wurde von einer Katze getötet.	2861333	Akanaṛi-inu yenɣa-iyi-t yiwen n wemcic.
427522	Dieser Tisch ist aus Holz.	2180897	Tadabut-a tettwaxdem s wesɣar.
435716	Die Katze spielt mit einer lebendigen Maus.	1749916	Amcic-nni yurar s uɣerday yeddren.
