80	Was ist das?	564445	מה זה?
80	Was ist das?	1656206	מה זו?
81	Heute ist der 18. Juni und das ist der Geburtstag von Muiriel!	1069643	היום 18 ביוני, יום הולדתה של מויריאל!
84	Das Passwort ist "Muiriel".	571539	הסיסמה היא "Muiriel".
93	Ich weiß nicht, ob ich Zeit dazu habe.	666388	אני לא יודע אם יש לי זמן לכך.
93	Ich weiß nicht, ob ich Zeit dazu habe.	666389	אני לא יודעת אם יש לי זמן לכך.
101	Ich verdiene 100 Euro pro Tag.	571558	אני מרוויח €100 ליום.
101	Ich verdiene 100 Euro pro Tag.	571559	אני עושה €100 ביום.
101	Ich verdiene 100 Euro pro Tag.	693487	אני מרוויחה מאה אירו ליום.
101	Ich verdiene 100 Euro pro Tag.	693488	אני משתכר 100 אירו ליום.
106	Ich werde mir Mühe geben, dich nicht beim Lernen zu stören.	746799	אשתדל לא להפריע לך בלימודיך.
122	Unglücklicherweise stimmt es.	571583	לצערי, זה נכון.
125	Nein, ich bin es nicht, du bist es!	571595	לא אני, אתה!
126	Das war mein Satz!	663579	זה היה המשפט שלי!
128	Bist du sicher?	558544	אתה בטוח בכך?
141	Ich bin so dick.	759458	אני שמן כל כך.
141	Ich bin so dick.	759459	אני שמנה כל כך.
142	Na und?	694370	נו, ו...?
142	Na und?	694371	נו, אז מה?
145	Ich sag's ja nur!	571630	אני רק אומר!
152	Es ist ein Wort, für das ich gerne einen Ersatz finden würde.	1245585	זוהי מילה שבשמחה הייתי מחליף אותה.
152	Es ist ein Wort, für das ich gerne einen Ersatz finden würde.	1245586	זוהי מילה, שהייתי מחליף בשמחה.
152	Es ist ein Wort, für das ich gerne einen Ersatz finden würde.	1245587	זוהי מילה שמאוד הייתי רוצה להחליף.
152	Es ist ein Wort, für das ich gerne einen Ersatz finden würde.	1245591	זוהי מילה שברצון הייתי מחליף.
152	Es ist ein Wort, für das ich gerne einen Ersatz finden würde.	1245593	זוהי מילה שברצון הייתי מחליפה.
152	Es ist ein Wort, für das ich gerne einen Ersatz finden würde.	1245595	זוהי מילה שהייתי מאוד רוצה להחליף.
154	Ich beabsichtige nicht, selbstsüchtig zu sein.	558552	אני לא מתכוון להיות אגואיסטי.
154	Ich beabsichtige nicht, selbstsüchtig zu sein.	558553	אני לא מתכוונת להיות אגואיסטית.
162	Damals im Gymnasium bin ich jeden Morgen um 6 Uhr aufgestanden.	1081231	אז בימי התיכון הייתי קמה כל בוקר בשעה שש.
162	Damals im Gymnasium bin ich jeden Morgen um 6 Uhr aufgestanden.	1081232	אז בימי התיכון הייתי קם כל בוקר בשעה שש.
169	Jeder Mensch, der allein ist, ist allein, weil er Angst vor den anderen hat.	2121684	כל מי שהוא לבד נמצא לבד משום שהוא פוחד מהאחרים.
169	Jeder Mensch, der allein ist, ist allein, weil er Angst vor den anderen hat.	2121685	כל מי שהוא לבד נמצא לבד משום שהוא פוחד מאחרים.
173	Ich bin ein Mensch, der viele Fehler hat, aber diese Fehler können leicht korrigiert werden.	684362	אני בן אדם עם מגרעות מרובות, אבל את המגרעות האלה אפשר לתקן בקלות.
216	Es gibt viele Wörter, die ich nicht verstehe.	686537	יש הרבה מילים שאני לא מבין.
229	Nein, er ist nicht mein neuer Freund.	1808927	לא, זה לא החבר החדש שלי.
293	Ich vermute, dass es hinter jeder Sache, die wir tun müssen, etwas gibt, das wir tun wollen...	769162	אני מניח שמאחורי כל כל דבר שאנחנו צריכים לעשות, יש משהו שאנחנו רוצים לעשות.
296	Du hast nie Zeit für die wichtigen Dinge!	572411	אף פעם אין לך זמן לדברים החשובים.
300	Hör auf, mich als einen "normalen" Menschen anzusehen!	1994901	תפסיקי לראות בי מישהי "נורמלית"!
307	"Wer ist es?" "Es ist deine Mutter."	656765	"מי זה?" "זאת אמך."
