77	Lass uns etwas versuchen!	380381	Proviamo a fare qualcosa!
77	Lass uns etwas versuchen!	565618	Proviamo qualcosa!
78	Ich muss schlafen gehen.	4369	Devo andare a dormire.
80	Was ist das?	4371	Che cos'è?
80	Was ist das?	617644	Cos'è questo?
80	Was ist das?	1002193	Cos'è quello?
80	Was ist das?	1002196	Che cos'è quella?
80	Was ist das?	2515202	Cos'è questa?
81	Heute ist der 18. Juni und das ist der Geburtstag von Muiriel!	383739	Oggi è il 18 giugno ed è il compleanno di Muiriel!
81	Heute ist der 18. Juni und das ist der Geburtstag von Muiriel!	565612	Oggi è il 18 di giugno ed è il compleanno di Muiriel!
82	Herzlichen Glückwunsch zum Geburtstag, Muiriel!	382902	Buon compleanno, Muiriel!
84	Das Passwort ist "Muiriel".	4373	La parola d'accesso è "Muiriel".
85	Ich werde bald zurück sein.	1432862	Io ritornerò presto.
87	Ich finde keine Worte.	965421	Non trovo le parole.
87	Ich finde keine Worte.	1626229	Io non trovo le parole.
87	Ich finde keine Worte.	1132731	Sono senza parole.
88	Das wird nie enden.	568662	Questo non finirà mai.
99	Das wird nichts ändern.	4375	Non cambierà niente.
100	Das wird 30 € kosten.	4376	Costerà trenta euro.
104	Das wird nicht passieren.	350990	Quello non succederà.
108	Ich vermute, das ist anders, wenn du darüber längerfristig nachdenkst.	2272237	Suppongo sia differente, se ci rifletti sul lungo periodo.
109	Mach dir keine Sorgen.	4377	Non ti preoccupare.
110	Ich vermisse dich.	4378	Mi manchi.
117	Ich kann so ein Leben nicht leben.	2733911	Non posso vivere quel tipo di vita.
120	Die letzte Person, der ich meine Idee erzählt habe, dachte, ich wäre bekloppt.	2209365	L'ultima persona a cui ho raccontato la mia idea, pensava che fossi suonato.
122	Unglücklicherweise stimmt es.	1860980	Purtroppo è così.
128	Bist du sicher?	4379	Sei sicuro?
134	Aus irgendeinem Grund fühle ich mich nachts lebendiger.	2206038	Per qualche motivo, mi sento più vitale la notte.
135	Das kommt auf den Zusammenhang an.	843139	Dipende dal contesto.
138	Ich will nicht erbärmlich sein, ich will cool sein!!	1588545	Non voglio esser zoppo, voglio esser cool!
142	Na und?	4380	E allora?
142	Na und?	1426846	E quindi?
143	Ich werde ihn erschießen.	1198620	Gli sparo.
149	Es würde ewig dauern, alles zu erklären.	1081551	Mi ci vorrebbe una vita per spiegare tutto.
155	Lass uns über das Schlimmste, das passieren könnte, nachdenken.	2734926	Consideriamo il peggio che potrebbe capitare.
156	Wie viele enge Freunde hast du?	2734928	Quanti amici intimi hai?
156	Wie viele enge Freunde hast du?	2734929	Quante amiche intime hai?
161	Ich wäre unglücklich, aber ich würde keinen Selbstmord begehen.	2224299	Potrei essere infelice, ma non commetterei mai suicidio.
163	Als ich aufgewacht bin, war ich traurig.	381870	Quando mi sono svegliato ero triste.
163	Als ich aufgewacht bin, war ich traurig.	1504723	Quando mi svegliai ero triste.
163	Als ich aufgewacht bin, war ich traurig.	1504724	Quando mi sono svegliata ero triste.
168	Um das zu tun, musst du Risiken eingehen.	4381	Per farlo, bisogna correre dei rischi.
170	Warum fragst du?	4382	Perché lo chiedi?
171	Ich bin kein Künstler. Ich hatte niemals das Zeug dazu.	4383	Non sono un artista. Non ho mai avuto lo spirito per queste cose.
173	Ich bin ein Mensch, der viele Fehler hat, aber diese Fehler können leicht korrigiert werden.	2205654	Sono una persona che ha molti difetti, ma che possono essere facilmente corretti.
177	Unschuld ist eine schöne Sache.	4384	L'innocenza è una cosa bella.
185	Ich wusste nicht, woher es kam.	383019	Non sapevo da dove venisse.
187	Dies ist nicht wichtig.	4385	Non è importante.
188	Ich möchte es nicht.	602352	Non lo voglio.
195	Ich wünschte, ich könnte nach Japan gehen.	4386	Mi piacerebbe tanto andare in Giappone.
197	Ich muss ins Bett gehen.	4369	Devo andare a dormire.
212	Du wolltest mit mir über Freiheit sprechen?	4387	Mi volevi parlare di libertà?
226	Nur, dass es hier nicht so einfach ist.	4388	Salvo che qui non è così semplice.
238	Ich bin neugierig.	838287	Sono curiosa.
239	Herzlichen Glückwunsch.	4390	Congratulazioni!
254	Ich kann es auch nicht erklären.	4391	Neanch'io lo posso spiegare.
258	Wie könnte ich ein Roboter sein? Roboter träumen nicht.	388819	Come potrei essere un robot? I robot non sognano.
262	Was denkst du, was ich gerade gemacht habe?	380751	Cosa credi che stessi facendo?
262	Was denkst du, was ich gerade gemacht habe?	2188807	Cosa credi che abbia appena fatto?
262	Was denkst du, was ich gerade gemacht habe?	2188898	Cosa credi che io abbia appena fatto?
273	Ausländer machen mich neugierig.	1061308	Gli stranieri mi intrigano.
278	Du bist nicht schnell genug.	4392	Non sei abbastanza veloce.
284	Ich spreche kein Japanisch.	1472939	Io non parlo giapponese.
285	Das ist ein Wortspiel.	4393	È un gioco di parole.
303	Das ist nicht möglich!	4394	Non è possibile.
307	"Wer ist es?" "Es ist deine Mutter."	4395	"Chi è?" "È tua madre."
322	Irgendwann werde ich wie der Wind rennen.	386464	Un giorno correrò come il vento.
338	Wenn du einen Fehler siehst, dann korrigiere ihn bitte.	2743617	Se vedi un errore, correggilo allora, per favore.
338	Wenn du einen Fehler siehst, dann korrigiere ihn bitte.	2743618	Se vedi un errore, correggilo allora, per piacere.
342	Wie schreibt man "pretty"?	4397	Come si scrive "pretty"?
346	„Wieso gehst du nicht?“ – „Weil ich nicht will.“	3585041	"Perché non vai?" "Perché non voglio."
355	Wenn man beginnt, seinem Passfoto ähnlich zu sehen, sollte man in den Urlaub fahren.	2072301	Quando si comincia ad assomigliare alla propria foto nel passaporto, è ora di andare in vacanza.
361	Du bist ein Engel!	4398	Sei un angelo!
368	Vielen Dank!	382975	Grazie mille!
372	Das ist eine gute Idee!	377565	È una buona idea!
373	Hin- und Rückfahrt? Nur Hinfahrt.	4399	Andata e ritorno? Solo andata.
377	Nach der Wäsche in Form bringen.	4400	Mettere in forma dopo il lavaggio.
379	Nicht öffnen, bevor der Zug hält.	4401	Non aprire prima che il treno sia fermo.
384	Mathe ist wie Liebe - eine einfache Idee, aber es kann kompliziert werden.	4402	La matematica è come l'amore - un'idea semplice, che però può diventare complicata.
385	Antworten sind nur dann nützlich, wenn sie neue Fragen aufwerfen.	4403	Le sole risposte utili sono quelle che propongono nuove domande.
386	An sich selbst zu zweifeln, ist das erste Zeichen von Intelligenz.	4404	Dubitare di sé stessi è il primo segno di intelligenza.
394	Sprichst du Italienisch?	4405	Parli italiano?
394	Sprichst du Italienisch?	2703678	Tu parli italiano?
394	Sprichst du Italienisch?	2703683	Parli in italiano?
406	Du wirst mich eines Tages vergessen.	612158	Mi dimenticherai un giorno.
409	Ich kann ohne Fernsehen nicht leben.	4406	Non posso vivere senza TV.
413	Ein Leben ohne Liebe hat überhaupt keinen Sinn.	4407	Una vita senza amore non ha assolutamente alcun senso.
416	Wir können wegen des Lärms nicht schlafen.	4408	Non riusciamo a dormire dal rumore.
416	Wir können wegen des Lärms nicht schlafen.	2716517	Noi non possiamo dormire a causa del rumore.
417	Hast du ein Kondom?	4409	Hai un preservativo?
424	"Ja, Orangensaft bitte", sagt Mike.	4410	"Sì, un succo d'arancia, per cortesia", dice Mike.
