1315215	Ο πόνος έφυγε.	2156942	Nema više boli.
1315215	Ο πόνος έφυγε.	2156943	Bol je nestala.
1400497	Είμαι ακόμη ανύπαντρος.	1400501	Ja sam još uvijek sam.
1493118	Το χαρτί είναι άσπρο, μα το χιόνι είναι ακόμα πιο άσπρο.	1041102	Papir je bijel, ali je snijeg bjelji.
1493120	Χιόνισε χθες.	1100998	Jučer je pao snijeg.
2414457	Γεννήθηκα εκεί.	2415201	Rođen sam tamo.
2716868	Έχετε τρεις γάτες.	2208992	Imate tri mačke.
3464330	Ευχαριστώ για την πληροφορία.	1051117	Hvala na informaciji.
1123836	Ναι.	478742	Da.
699070	Τί κάνεις;	742827	Kako si?
5975762	Πάω στην παραλία.	5975774	Idem na plažu.
