382058	¡Gracias!	380437	Faleminderit!
482556	Él tiene mucho dinero.	879931	Ka shume para.
3179991	Yo te voy a ayudar.	3179990	Unë do të të ndihmoj.
3189026	Demos un paseo por el parque.	1183585	Shkojmë të bëjmë një shëtitje në park.
3344385	Yo soy Tom.	3344403	Unë jam Tom.
2008688	Quiero ir.	3335202	Dua të shkoj.
3486158	Yo no tengo tu fuerza.	3102788	Unë nuk kam forcën tuaj.
3486163	Llegaré a las cinco.	3102220	Unë do të vij në orën pesë.
508421	Tengo un hermano.	3100697	Kam një vëlla.
436346	Soy de Rusia.	3100680	Jam nga Rusia.
3490464	Esta es mi mujer.	3100504	Kjo është gruaja ime.
3490465	Yo estoy aquí.	3100493	Unë jam këtu.
3490466	Yo no estoy aquí.	3100464	Unë nuk jam këtu.
1013884	Estoy en casa.	3100451	Unë jam në shtëpi.
3518086	Ten en cuenta que puedes morir.	2947355	Mbaje ne mend qe ju mund te vdisni.
3518100	Usas un cuchillo para cortarme la cabeza y lloras después de que haya muerto. ¿Quién soy?	2942821	Ju përdorni një thikë për të më prerë kryet dhe pastaj qani pasi unë kam vdekur. Kush jam unë?
3518120	La gran ballena azul es el ser vivo más grande que vive.	2942797	Balena e madhe blu është gjallesa më e madhe që jeton.
3518985	¿Cuál es más grande, Japón o Gran Bretaña?	2942688	Cila është më e madhe, Japonia apo Britania?
3519003	El será un buen doctor.	1996102	Ai do të bëhet një doktor i mirë.
3519013	No veo ninguna analogía entre tu problema y el mío.	1723356	Nuk shoh analogji midis problemit tend dhe te timit.
3522905	Este teléfono no está funcionando correctamente.	3521470	Ky telefon nuk po funksionon siç duhet.
449153	¿Cómo te llamas?	2424247	Si të quajnë?
1248974	Además de computadores, puede utilizarse en teléfonos celulares.	4731220	Përveç kompjuterave, mund të përdoret dhe në telefona celulare.
1421975	Él ni siquiera merece que lo alumbre el sol.	4731222	Ai as nuk meriton që t'i shndritë dielli.
1249659	Una república es una nación cuya cabeza no es un rey ni una reina, sino un presidente.	4731225	Një republikë është një komb kreu i të cilit nuk është një mbret apo një mbretëreshë, por një president.
556571	¿Puedo irme a casa?	4731226	A mund të kthehem në shtëpi?
3027834	Almorcé alrededor de las once porque tenía hambre.	4731227	Hëngra drekë rreth orës njëmbëdhjetë sepse kisha uri.
2122926	Quiero que mañana vayas en avión a Boston.	4731230	Dua që të ikësh nesër në avion për në Boston.
905745	Decir mentiras es un hábito muy malo.	4731231	Të tregosh gënjeshtra është një zakon shumë i keq.
634797	Estas cámaras están hechas en Japón.	4731232	Këto kamera janë prodhuar në Japoni.
4535684	Deja el periódico y escucha lo que te digo.	4731233	Lëre gazetën dhe dëgjo atë që të them.
4508565	¿Le gustan los caballos?	4731234	Të pëlqejnë kuajt?
2280088	No. Los he buscado durante más de una hora.	4731236	Jo. I kam kërkuar për më shumë se një orë.
1329383	Mi reloj parece estar roto.	4731237	Ora ime duket se është e prishur.
859954	Un extraño está de pie delante de la casa.	4731238	Një i panjohur është në këmb përpara shtëpisë.
3232879	¡Déjanos tranquilos!	4731242	Lërna rehat!
972259	Después de tomar el té, empezamos una discusión.	4731244	Pasi e pimë çajin, filluam një diskutim.
1411196	Él tiene un auto japonés.	4731246	Ai ka një makinë japoneze.
4622799	Tom nunca dijo que quisiese ir.	4731247	Tomi kurrë nuk tha se donte të ikte.
2753533	Él lee mucho.	4731248	Ai lexon shumë.
4554101	¡Pues claro!	4731251	Sigurisht!
4554101	¡Pues claro!	4731252	Patjetër!
1308740	Fuimos juntos a Laramie, pero después nos separamos.	4731253	Shkuam bashkë në Laramie, por pastaj u ndamë.
4550007	La mayoría de la gente de por aquí no tiene electricidad.	4731256	Shumica e popullit këtej nuk ka energji elektrike.
2314590	Asumí que lo averiguarías tarde o temprano.	4731259	Supozova që do ta merrja vesh herët a vonë.
1687191	La sociedad está dividida.	4731175	Shoqëria është e ndarë.
3082629	¡Feliz Día Internacional de la Mujer!	4960469	Gëzuar Ditën Ndërkombëtare të Gruas!
