2482	Tengo que irme a dormir.	372962	عليّ أن أنام.
2482	Tengo que irme a dormir.	383342	عليّ الذهاب إلى النوم.
2484	¿Qué es eso?	370532	ما هذا؟
2517	Deberías dormir.	373037	عليك النوم.
2546	¿Entonces qué?	372187	ماذا بعد ذلك؟
2552	Esto es lo que yo habría dicho.	552753	كنتُ لِأَقُولَ هذا.
2552	Esto es lo que yo habría dicho.	552755	هذا ما كنتُ لأقوله.
2601	Me tengo que ir a la cama.	372962	عليّ أن أنام.
2601	Me tengo que ir a la cama.	383342	عليّ الذهاب إلى النوم.
2611	¿Qué ocurrió?	450149	ماذا حدث؟
2639	Te quiero.	371444	أنا أحبك.
2639	Te quiero.	371445	أحبك.
2642	¡Felicidades!	384367	مبروك.
2685	No hablo japonés.	340400	أنا لا أتكلم اللغة اليابانية.‏‏
2687	Nadie me entiende.	433390	لا أحد يفهمني.
2707	"¿Cuándo volverás?" "Todo depende del clima."	371512	"متى ستعود؟" "يعتمد ذلك على الجو."
2759	¡Esto es una buena idea!	375520	هذه فكرة جيدة!
2784	Nunca lo habría adivinado.	1597629	لم يخطر هذا في بالي أبدا.
2834	¡No es culpa mía!	371547	انها ليست غلطتي!
2851	¿Cuántos años tienes?	375538	كم عمرك؟
2874	No entiendo.	371513	لا أفهم.
2885	¡Es demasiado caro!	375546	إنها غالية جداً!
2900	¡Me muero de hambre!	400026	أنا جائع جداً.
2905	Él toca el piano muy bien.	332187	يعزف على البيانو بشكل جيد جداً
2914	Querer es poder.	1285726	حيث هناك إرادة هناك وسيلة.
2914	Querer es poder.	1285727	حيث هناك إرادة - هناك طريقة.
2922	¡Toma un libro y léelo!	608029	خذ كتاباً واقرأه!
2926	Hace frío.	371032	الجو بارد.
2936	La vida es bella.	375584	الحياة جميلة.
2939	Necesito tu ayuda.	371288	أحتاج إلى مساعدتك.
2948	Fuimos a Londres el año pasado.	1573532	ذهبنا إلى لندن العام الماضي.
2954	Las clases empiezan pronto de nuevo.	1569070	ستستأنف الدروس قريبا.
2999	¿Adónde vas?	371442	إلى أين أنت ذاهب؟
2999	¿Adónde vas?	966449	أين تذهب؟
3025	¡No te olvides de nosotros!	371035	لا تنسنا.
3070	Quien ríe último, ríe mejor.	607933	من يضحك أخيرًا يضحك كثيرًا.
3071	¿De dónde eres?	370702	من أين أنت؟
6144	¿Dónde vives?	370707	أين تسكن؟
126566	No sé dónde vive.	1017359	أنا لا أعرف أين تعيش.
329772	Volveré a las diez.	987240	سأعود في العاشرة.
329853	Enero es el primer mes del año.	448349	يناير هو أول شهر في السنة.
330116	Japón es un país industrial.	375567	اليابان بلد صناعي.
330294	Más vale pájaro en mano que ciento volando.	1285512	بيضة اليوم خير من دجاجة الغد.
330637	¿Quién inventó el teléfono?	371652	من اخترع الهاتف؟
331677	Este es el camino más corto a la estación.	1013835	هذا هو أقصر الطرق إلى المحطة.
331715	Ya había sonado la campana cuando llegué al colegio.	1003173	كان قد رن الجرس عندما وصلت إلى المدرسة.
331770	Ella asustó al gato.	1584787	هي أفزعت القط.
332137	¿Cuál es la fecha de hoy?	399135	ما تاريخ اليوم؟
332228	De nada.	602074	لا شكر على واجب.
332230	¡Feliz cumpleaños!	332229	عيد ميلاد سعيد!‏‏
333487	Yo no trabajo.	371545	أنا عاطل عن العمل.
336297	Él no pudo contener su cólera ni un segundo más.	1566603	لم يتمكن من احتواء غضبه و لو لثانية.
336528	Que tengas un buen día.	1431568	أتمنى لك يوماً طيباً.
336549	No quiero que haya malentendidos.	1412493	أنا لا أريد أن يكون هناك أي سوء فهم.
336568	El cuchillo es bastante afilado.	986136	السكين حادة جدا.
336805	Este es un libro.	370541	هذا كتاب.
337796	Esto es un regalo para ti.	411503	هذه الهدية لك.
337811	Esas hermanas son ambas rubias.	422707	الأختان شقراوتان.
338606	Quizás ella se olvidó el paraguas en el autobús.	973066	ربّما نسيت المظلّة في الحافلة.
338917	¿Dónde está el baño?	422684	أين الحمام؟
339070	Él aún está en cama.	1894851	هو مازال على ظهره.
339548	Tokio es la ciudad más grande de Japón.	422666	طوكيو هي أكبر مدينة في اليابان.
339987	No creo que ser pobre sea algo para avergonzarse.	604175	لا اعتقد انه من العار أن يكون الإنسان فقيراً.
340398	¿Habla usted inglés?	340399	هل تتكلم اللغة الإنجليزية؟
341360	Él quiere un coche nuevo.	983525	هو يريد سيارة جديدة.
341800	No es necesario.	371565	ليس بالضرورة.
341808	Él me pidió consejo.	432381	طلب مني النصيحة.
342982	Yo creo que él debería disculparse ante el profesor.	1584924	أظن أنه ينبغي عليه أن يعتذر من الأستاذ.
343494	Este libro fue impreso en Inglaterra.	507739	طبع هذا الكتاب في انجلترا.
343840	Pero yo entiendo lo que él dice.	1072801	ولكن أنا أفهم ما يقول.
343875	No comas demasiado.	1000683	لا تأكل كثيرا.
344141	Esa es una buena idea.	450167	تلك فكرة جيدة.
345164	Tengo mucha sed.	375763	أنا عطشانٌ جداً.
345302	Esto es un lápiz.	969103	هذا قلم رصاص.
345650	Jamás había oído tal cosa.	1572149	لم أسمع بهذا قط.
345758	¿Cuál es la capital de EEUU?	1593915	ما هي عاصمة الولايات المتحدة؟
345766	Hemos decidido la fecha de la próxima reunión.	1573542	اتفقنا على تاريخ الاجتماع القادم.
346057	¿Podrías ayudarme?	371303	أيمكنك مساعدتي؟
346431	No sé hablar nada de francés.	1033714	لا يمكنني أن أتحدث الفرنسية على الإطلاق.
346509	Ella preparó sopa de verduras anoche.	1584938	لقد أعدّت حساء خضروات الليلة.
354973	¿Quién escribió la carta?	371657	من كتب الرسالة؟
354998	¿Cuántos años tiene él?	375581	كم عمره؟
355828	¿Dónde está tu padre?	616415	أين أبوك؟
355828	¿Dónde está tu padre?	1017333	أين أبوك ؟
356683	Lo vi con mis propios ojos.	374763	رأيت ذلك بأم عيني.
356719	¿Por qué no se lo dijiste a ella?	419659	لما لم تقل لها؟
356780	Deberías hacer ejercicio.	1397459	يجب عليك ممارسة الرياضة.
358620	Enviaré mi voz en una cinta.	1586307	سأبعث لك صوتي مسجلا في شريط.
358675	¿A dónde vamos?	1011760	إلى أين نذهب؟
359387	Lo compré ayer.	370539	اشتريته بالأمس.
360216	¿Eso es tuyo?	966515	أذلك لك ؟
360255	Me llamo Shuu.	1034928	اسمي شو.
360390	Mucha gente murió en ese accidente.	1036171	مات الكثير من الناس في هذا الحادث.
360406	Nadie vino a ayudarme.	1003292	لم يأت أحد لمساعدتي.
374136	Ven aquí.	372138	تعال هنا.
375826	¿Qué pasó?	450149	ماذا حدث؟
375872	¿Por qué?	372552	لماذا؟
375872	¿Por qué?	372553	لم؟
376608	No sé.	340402	لا أعرف‏.‏‏
377225	Él tiene un perro.	966536	لديه كلب .
380198	Te amo.	371445	أحبك.
381375	Ojos que no ven, corazón que no siente.	1443613	البعيد عن العين بعيد عن القلب.
382058	¡Gracias!	448674	شكراً!
397688	¿Cómo estás?	370662	كيف حالك؟
397723	No logro entender qué tipo de persona es él.	1564324	لا أستطيع أن أفهم أي نوع من الأشخاص هو
397735	No me gusta la escuela.	336163	لا أحب المدرسة.
398226	Roma no fue construida en un día.	1013814	روما لم تبن في يوم واحد.
398441	Que duermas bien, Timmy.	332222	أتمنى لك نومًا هادئًا يا تِمِي.‏‏
399408	Enciende la radio.	371602	افتح الراديو.
399428	Mi esposa es doctora.	370579	زوجتي طبيبة.
402807	Me gusta comer sandía.	402817	أحب أن آكل البطيخ.
402809	El amor es ciego.	371450	الحب أعمى.
402809	El amor es ciego.	371457	الحب لا يرى عيوباً.
402811	Él no tiene un hogar donde vivir.	402815	ليس لديه بيت ليعيش فيه.
403913	¡Buenos días!	375518	صباح الخير.
415940	¿Qué está pasando?	371600	ما الذي يحدث؟
424056	Soy miembro del club de natación.	419569	أنا عضو في نادي السباحة.
427036	¡Hasta luego!	372112	مع السلامة.
427036	¡Hasta luego!	375514	مع السلامة!
428781	Mi nombre es Hashimoto.	1072699	اسمي هاشيموتو.
431994	Es tarde.	371044	إنها ساعة متأخرة.
434249	¿Está usted casado?	1431883	هل انت متزوج؟
434257	¿Usted enseña español?	966446	هل تدرّس الإسبانية؟
434639	¿Hay alguien aquí que hable inglés?	1432024	هل هنا اي شخص يتكلم الانجليزية؟
434827	Que tengas una buena noche.	1002593	ليلة سعيدة.
435153	Lo sé.	372158	أعرف.
436132	¿Qué tal?	370662	كيف حالك؟
436246	¿Qué edad tiene usted?	375538	كم عمرك؟
436260	¿Cómo te va?	370662	كيف حالك؟
436276	Soy alto.	3174853	أنا طويل.
436326	Tengo frío.	375533	أشعر بالبرد.
436378	¡Tengo hambre!	376337	أشعر بالجوع.
436378	¡Tengo hambre!	404103	أنا جائع.
436516	No bebo café.	1080177	أنا لا أشرب القهوة.
436642	Tengo un vaso de plástico.	966527	لدي قبعه من البلاستيك .
436790	Me encanta mi vida.	1072705	أنا أحب حياتي.
436802	Te extraño.	392779	افتقدتك.
436812	¡Necesito un medico!	966519	أحتاج إلى طبيب .
436822	Necesito un trabajo.	987297	أحتاج وظيفة.
437084	Yo te deseo.	617147	أريدك.
439806	Respóndeme.	969116	أجبني.
439829	Ahora recuerdo.	371056	الآن تذكرت.
442198	¿Dónde está tu casa?	370705	أين بيتك؟
445704	Te gusta la lluvia, ¿verdad?	394077	تحب المطر ، صحيح؟
445770	Ella sabe tocar el piano.	371964	بإمكانها العزف على البيانو.
445791	Llévame contigo.	371478	خذني معك.
445850	Este castillo es bonito.	336154	هذه القلعة جميلة.
449153	¿Cómo te llamas?	332223	ما اسمُك؟
449692	Acabo de llegar.	374784	وصلت منذ لحظات.
449788	No cabe duda.	607975	لا يوجد شك.
449801	No puedo decir lo contrario.	607997	لا أستطيع أن أقول العكس.
449812	Nos preguntamos por qué.	608021	نتساءل لِمَ.
453688	Ella tiene pocos amigos.	450179	لديها القليل من الأصدقاء.
453909	No abras tu libro.	969114	لا تفتح كتابك.
454186	¿Qué quieres comer?	372014	ماذا تريد أن تأكل؟
454552	¡No me lo puedo creer!	1935776	لا أستطيع أن أُصدق هذا!
454574	Te echo de menos.	392779	افتقدتك.
