1010965	Ella no quería que él jugara póquer.	2894183	Նա չէր ցանկանում, որ նա պոկեր խաղար:
1268482	Déjame un poco de helado.	3620772	Ինձ մի քիչ պաղպաղակ թող:
1319802	¿Qué tal si vamos al cine?	2883791	Ի՞նչ կասես կինո գնալու մասին:
1321908	Él es un hombre en el que puedes confiar.	2883807	Նա մի մարդ է, ում վրա դու կարող ես ապավինել:
1416685	Hay personas que tienen hijos porque no pueden mantener a un perro.	2888008	Մարդիկ կան, որնք երեխա են ունենում, քանի որ չեն կարող շուն պահել:
1532979	Envíamelo ahora.	2883864	Դա ինձ հիմա՛ ուղարկիր:
1559793	Noté que sus manos temblaban.	3620778	Նկատեցի, որ նրա ձեռքերը դողում են:
1706999	Deje la puerta abierta.	2894220	Դուռը բաց թողե՛ք:
2395926	Compré una casa.	2412889	Ես տուն գնել:
2406035	No soy católica.	2412885	Ես կաթոլիկ չեմ:
2654904	¿Tienes un diccionario?	2883831	Դու բառարան ունե՞ս:
2654905	¿Tiene usted un diccionario?	2883827	Դուք բառարան ունե՞ք:
2667241	De veinte estudiantes, solo uno ha leído el libro.	2909097	Քսան աշակերտներից միայն մեկն էր կարդացել գիրքը:
2831824	Canto.	2705598	Ես երգում եմ:
2844143	Siempre he querido leer ese libro.	2844140	ես ուզում էի անընդհատ կարդալ այդ գիրքը:
2844211	Llena la olla con agua.	2844208	Ջրով լցնել կաթսան:
2844215	Agrégale sal y bicarbonato al agua.	2844214	Սոդան և աղն ավելացնել ջրին։
2844222	La comida sana es esencial para un cuerpo sano y una mente sana, y como resultado, realiza la máxima eficiencia.	2844219	Առողջ սնունդը կարևոր է առողջ մարմին, առողջ գիտակցություն և արդյունքում՝ առավելագույն արդյունավետություն ունենալու համար։
2844229	Este libro incluye una variedad de alimentos y sus hechos importantes relacionados con la salud.	2844225	Այս գիրքը ընդգրկում է բազմազան սննդամթերք և դրան առողջությանը վերաբերող կարևոր փաստեր։
2849450	Quiero vivir mi vida sin estrés y preocupaciones. No necesito ser rico y famoso, sólo quiero ser feliz...	2849451	Ես ցանկանում եմ ապրել իմ կյանքը առանց սթրեսների և անհանգստությունների: Ես չեմ ուզում լինել հարուստ կամ հայտնի, ես պարզապես ուզում եմ երջանիկ լինել:
2849673	Sentí que él me podría enseñar a leer.	2849672	Ես զգում էի, որ նա կարող է սովորեցնել ինձ կարդալ:
2883784	¿Hay perros que comen pescado crudo?	2883635	Կա՞ն շներ, որոնք հում ձուկ են ուտում:
2883786	Por cierto, ¿qué le pasa?	2883788	Ի դեպ, նրան ի՞նչ է պատահել:
2883795	¿Está bien si me siento aquí?	2883794	Նոռմալ կլինի՞, եթե նստեմ այստեղ:
2883805	Soy un doctor. ¿Y tú?	2883803	Ես բժիշկ եմ: Ինչ կասես քո մասին?
2883856	Quiero que Tom sea asesinado.	2883851	Ես ուզում եմ, որ Թոմը սպանված լինի:
2883863	Mándamelo ahora.	2883864	Դա ինձ հիմա՛ ուղարկիր:
2894227	Es tres años menor que mi hermano mayor.	2894224	Նա իմ ավագ եղբորից փոքր է երեք տարով:
2897766	Estoy en casa de mi tío materno.	2897754	Երևանում եմ, քեռուս տանը:
2897794	¿Planeas ir de vacaciones este año?	2897792	Դու պատրաստվու՞մ ես այս տարի արձակուրդ գնալ:
3057885	No creo que eso sea cierto.	3620766	Չեմ հավատում, որ դա ճիշտ է:
3066654	La intuición de una mujer es más precisa que la certeza de un hombre.	3066655	Կանացի դյուրըմբռնողականությունն ավելի մեծ ճշգրտություն ունի, քան տղամարդու համոզվածությունը:
