436298	Soy periodista.	2852638	Mən jurnalistəm.
632939	Aprendemos chino.	3453086	Çin dilini öyrənirik.
793303	Dolerá un poco, pero no mucho.	2883700	Biraz incidəcək, çox yox.
859852	Nancy, aquí hay una carta para ti.	2871091	Nancy, al sənə bir məktub.
1163757	¡No me hables!	2883661	Mənimlə danışma!
1280030	Apurémonos.	2887920	Tələsək.
1397054	Esto sorprendió a muchas personas.	2883653	Bu bir çox adamı təəccübləndirdi.
1575146	Démonos prisa.	2887920	Tələsək.
1713177	Creo que deberías ir en taxi.	3309509	Məncə taksi ilə getməlisən.
1844192	Incluso sin maquillaje, ella es muy linda.	2887963	Makiyajsız belə çox xoşdur.
2223664	Está con Peter.	2879184	O Piter ilə birlikdədir.
2736043	Los niños son las flores de nuestra vida.	2760986	Uşaqlar həyatımızın çiçəkləridir.
2767165	No pudo aprobar el examen.	2767164	İmtahanı keçə bilmədi.
2871017	No se puede negar que es inteligente.	2871016	Onun ağıllı olduğu inkar edilə bilməz.
2887935	Mis oraciones se hicieron realidad.	2887933	Dualarım qəbul olunmuşdu.
2887944	Ya se nos hizo tarde.	2887945	Biz artıq geçikmişik.
2887959	¿Con cuál empezaré?	2887954	Hansıyla başlayım?
2887979	Ese hombre mayor es muy tiquismiquis para comer.	2887974	O yaşlı adam dəhşət yeyəndir.
3457133	Él dijo eso.	3304225	O elə dedi.
3519060	Tom tartamudea.	3453083	Tom çeçələyərək danışır.
3519244	No pareció apropiado.	3351300	O, müvafiq görünmürdü.
3681592	Cuando entré al cuarto, estaban Tom y Mary acostados en el sofá abrazados.	3307107	Mən otağa girəndə, Tom və Mary divanda birlikdə sarılıb yatmışdılar.
3681597	No puedo explicar cómo hizo eso Tom.	3307103	Tomun onu necə etdiyini başa sala bilmirəm.
3681603	No sé como explicar cómo hizo eso Tom.	3307103	Tomun onu necə etdiyini başa sala bilmirəm.
3681606	Tom fue apuñalado en el brazo.	3307100	Tom qolundan bıçaqlandı.
3681613	Llévale esto a tu mamá.	3307096	Bunu anana apar.
3681647	No puedo dar más.	3307121	Daha çox verə bilmərəm.
3681886	Nosotros creíamos que estaban casados.	3307063	Biz, evli olduğunuzu fikirləşmişdik.
3681887	Nosotros creíamos que estabais casados.	3307063	Biz, evli olduğunuzu fikirləşmişdik.
3686948	Entrené a mi perro a que venga cuando sople el silbato.	3303261	İtimi fit çaldığımda gələcək şəkildə əhilləşdirdim.
2926	Hace frío.	3656166	Hava soyuqdur.
878507	Gracias por todo.	3746956	Hər şey üçün sağ ol.
