2482	Tengo que irme a dormir.	1329627	Lo egitera joan beharra dut.
2483	¿Qué estás haciendo?	412637	Zer ari zara egiten?
2484	¿Qué es eso?	496465	Zer da hori?
2486	¡Feliz cumpleaños, Muiriel!	496467	Zorionak Muiriel!
2487	Ahora, Muiriel tiene 20 años.	496468	Muirielek orain 20 urte ditu.
2489	Volveré pronto.	496473	Laister itzuliko naiz.
2494	Era un conejo malo.	1329629	Untxi gaizto bat zen.
2495	Yo estaba en las montañas.	496477	Mendian nenbilen.
2497	No sé si tengo tiempo.	496480	Ez dakit denborarik daukadan.
2508	Eso no va a pasar.	496481	Hori ez da gertatuko.
2513	No te preocupes.	496486	Ez zaitez kezkatu.
2561	Yo puedo ser antisocial, pero eso no significa que no hable con la gente.	413115	Ni antisoziala banaiz ere, horrek ez du esan nahi jendearekin hitz egiten ez dudanik.
2572	Para hacer eso, tienes que arriesgarte.	412575	Hori egiteko arriskutan jarri behar zara.
2639	Te quiero.	859425	Maite zaitut.
2640	Ya no te quiero.	863388	Dagoeneko ez zaitut maite.
2640	Ya no te quiero.	879411	Jadanik ez zaitut maite.
2642	¡Felicidades!	863371	Zorionak!
2645	Pero la posibilidad es improbable.	922371	Baina aukera ez da litekeena.
2674	¡Aborrezco profundamente la escritura formal!	412730	Idazkera formala benetan arbuiatzen dut!
2685	No hablo japonés.	412582	Ez dut japoniera hitz egiten.
2726	Allen es un poeta.	864964	Allen olerkaria da.
2750	Bueno, la noche es muy larga, ¿no?	863215	Ongi, gaua oso luzea da, ezta?
2794	¿Llevas condones?	412612	Kondoirik ba al duzu?
2797	Puedo ir caminando a la escuela en 10 minutos.	858395	10 minututan eskolara oinez joan naiteke.
2802	¿Qué quieres?	941826	Zer nahi duzu?
2802	¿Qué quieres?	941897	Zer nahi duzue?
2831	¿De dónde vienes?	670948	Nondik zatozte?
2838	¿Dónde están las duchas?	413144	Non daude dutxak?
2848	¡Déjame en paz!	435845	Utzi ni lasai!
2851	¿Cuántos años tienes?	666112	Zenbat urte dituzu?
2893	Cuando el cuerpo es tocado, los receptores en la piel envían mensajes al cerebro causando la liberación de sustancias químicas como las endorfinas.	426661	Gorputza ikutua denenan, larruko errezeptoreek mezuak bidaltzen dizkiote garunari endorfina moduko substantzia kimikoen askatzea sortuz.
2926	Hace frío.	412692	Hotza egiten du.
2936	La vida es bella.	412623	Bizitza polita da.
2941	No quiero ir a la escuela.	880252	Ez dut eskolara joan nahi.
2965	"Gracias." "De nada."	1329638	"Mila esker"."Ez horregatik".
2973	Uno, dos, tres, cuatro, cinco, seis, siete, ocho, nueve, diez.	1215489	Bat, bi, hiru, lau, bost, sei, zazpi, zortzi, bederatzi, hamar
2998	¿Dónde estás?	666159	Nongoak zarete?
3009	Completa el siguiente formulario para saber quién pudiste haber sido en tu anterior vida.	412713	Bete ezazu honako txantiloi hau zure aurreko bizitzan zein izan zitezkeen jakiteko.
3071	¿De dónde eres?	666133	Nongoa zara?
3071	¿De dónde eres?	941644	Nongao zara?
3073	Ahí está la madre del cordero.	922367	Hortxe dago gakoa.
3078	Más vale tarde que nunca.	1085606	Inoiz ez baino, berandu hobe.
7022	George es muy hablador.	413148	George oso hiztuna da.
9264	"¿Ella es joven?" "Sí."	922375	Bera gaztea da? Bai.
10454	La escuela estaba de vacaciones por Navidad.	880258	Eskola Gabonetako oporretan zegoen.
