2488	La contraseña es "Muiriel".	397378	Пароль — «Muiriel».
2505	Gano 100 € al día.	397380	Я зарабляю 100 еўра ў дзень.
2685	No hablo japonés.	397369	Я не размаўляю па-японску.
2872	¿Quién quiere chocolate caliente?	395180	Каму какаву?
2936	La vida es bella.	397424	Жыццё прыгожае.
2973	Uno, dos, tres, cuatro, cinco, seis, siete, ocho, nueve, diez.	382292	Адзін, два, тры, чатыры, пяць, шэсць, сем, восем, дзевяць, дзесяць.
2998	¿Dónde estás?	431836	Ты дзе?
135987	"¿Está ella leyendo un libro?" "Sí."	395097	«Яна чытае кнігу?» — «Так».
136209	¡Feliz Año Nuevo!	695790	З Новым годам!
331209	Ese fue el mejor día de mi vida.	480742	Гэта быў найлепшы дзень майго жыцця.
340224	¡Difunde el esperanto!	340237	Распаўсюджвайце эсперанта!
340314	Él se enamoró de ella a primera vista.	888607	Ён закахаўся ў яе з першага позірку.
340398	¿Habla usted inglés?	397372	Вы ведаеце англійскую?
341358	Él es fuerte.	1176296	Ён моцны.
341635	Tengo muchos amigos.	385293	Я маю шмат сяброў.
342626	Comparado con Tokio, Londres es pequeño.	3058692	У параўнанні з Токіа, Лондан маленькі.
345193	Ella le dio un reloj.	409477	Яна дала яму гадзіннік.
345519	No tengo dinero, pero tengo sueños.	641025	У мяне няма грошаў, але ёсць мары.
346265	Nunca se es demasiado viejo para aprender.	385806	Вучыцца ніколі не позна.
346619	Hoy es lunes.	776563	Сёння панядзелак.
360263	Este libro es mío.	535361	Гэтая кніга мая.
376608	No sé.	383271	Я не ведаю.
380916	Quiero dormir.	393119	Я хачу спаць.
382058	¡Gracias!	397355	Дзякуй!
382159	Todos los seres humanos nacen libres e iguales en dignidad y derechos y, dotados como están de razón y conciencia, deben comportarse fraternalmente los unos con los otros.	382266	Усе людзi нараджаюцца свабоднымi i роўнымi ў сваёй годнасцi i правах. Яны надзелены розумам i сумленнем i павiнны ставiцца адзiн да аднаго ў духу брацтва.
399117	Estoy traduciendo.	399167	Я перакладаю.
407115	Intentaba llamarle a ella, pero lo olvidé.	407214	Я збіраўся пазваніць ёй, але забыў.
407203	Probablemente mañana nevará.	407211	Магчыма, заўтра пойдзе снег.
424053	A Betty le gusta la música clásica.	430274	Бэці любіць класічную музыку.
432296	El perro está muerto.	1439983	Сабака мёртвы.
436516	No bebo café.	448253	Я не п’ю кавы.
436944	Vendo paraguas nuevos.	572591	Я прадаю новыя парасоны.
449906	Buenos días, ¿es usted el señor Ogawa?	449948	Добры дзень, Вы спадар Огава?
454127	Mi abuelo murió hace tres años.	677106	Мой дзядуля памёр тры гады таму назад.
459195	¿Adónde va este tren?	490231	Куды ідзе гэты цягнік?
460405	¿Me quieres?	410660	Ты мяне кахаеш?
460409	¡El latín es la lengua del futuro!	431844	Лацінская — мова будучыні!
463003	La mujer lee inglés.	677790	Гэтая жанчына чытае па-ангельску.
474986	La única diferencia entre un loco y yo, es que yo no estoy loco.	477055	Адзіная розніца паміж мной і вар’ятам у тым, што я не вар’ят.
475499	Este es un buen libro de texto.	475483	Гэта добры падручнік.
477808	Cuando usamos esperanto, estamos al mismo nivel, por lo menos, lingüístico.	477809	Калі мы выкарыстоўваем эсперанта, мы знаходзімся на адным і тым самым узроўні, па меншай мены моўным.
478001	Empezabas a aprender el esperanto.	477988	Ты пачала вывучаць эсперанта.
479857	La trompeta es un instrumento musical.	488907	Труба — гэта музычны інструмент.
479868	Sumatra es una isla.	477100	Суматра — гэта выспа.
