2482	Tengo que irme a dormir.	760628	Трябва да си лягам.
2562	Así ha sido siempre.	2289110	Така е било винаги.
2685	No hablo japonés.	762990	Не говоря японски.
2701	¡Deja de mirarme como una persona "normal"!	760588	Недей повече да ме възприемаш като "нормален човек"!
2726	Allen es un poeta.	432778	Ален е поет.
2726	Allen es un poeta.	787894	Алън е поет.
2914	Querer es poder.	369418	С желание всичко се постига.
2951	He soñado contigo.	760746	Сънувах те.
329770	Ven a las diez en punto.	369509	Ела точно в 10часа!
329854	Como llovió, no fuimos de picnic.	777435	Понеже валеше, не отидохме на пикник.
329967	No merece la pena reparar ese coche.	456882	Колата не си струва да се ремонтира.
330037	Mejor te llevo hasta tu casa en coche.	760798	По добре да те откарам у вас.
330150	Amar y ser amado es la mayor de las felicidades en esta vida.	369417	Да обичаш и да си обичан, е най-радостното нещо в живота.
336285	¿Es él tan tonto como para creer algo así?	2289120	Толкова ли е глупав, че да вярва това?
336820	Si hubiese tenido un poco más de dinero, lo habría comprado.	369530	Мисля си, че ако имах малко повечко пари, бих си купил това нещо.
339020	Él siempre es así.	2289126	То винаги е така.
339090	Su patria es Alemania.	760734	Неговата родна страна е Германия.
345083	No dejes escapar la oportunidad.	760656	Не изпускай тази възможност!
347475	Vayamos ahí a verle.	369971	Да отидем там да се срещнем с него.
358518	A él no le gusta el deporte. Y a mí tampoco.	369398	Той не обича спорта. Аз също.
407203	Probablemente mañana nevará.	760885	Вероятно утре ще вали сняг.
436378	¡Tengo hambre!	630810	Гладен съм!
436594	Me siento bien.	787932	Чувствам се добре.
455828	Estoy aburrido.	3669318	Отегчен съм.
456526	No muy dulce.	456797	Не много сладко.
456592	Perdone, ¿habla usted inglés?	456776	Извинете, говорите ли английски?
456628	Por favor, hable más despacio.	760659	Говори по-бавно, ако обичаш.
461018	¿Qué te interesa?	455757	От какво се интересуваш?
475514	¿Te apetece un poco de café?	2298385	Искаш ли малко кафе?
476168	Me apetece cantar bajo la lluvia.	2298388	Харесва ми да пея под дъжда.
503046	Llegué tarde a la escuela.	760747	Закъснях за училище.
503524	No tengo nada que decir.	791358	Нямам нищо за казване.
519812	Buenos días, Mike.	782761	Добро утро, Майк.
524754	Me haces feliz.	821562	Ти ме правиш щастлив.
