2639	Te quiero.	567186	Volim te.
2704	¡No puede ser!	1047989	To je nemoguće!
2817	Me encontraste donde nadie estaba buscando.	1053822	Pronašao si me tamo gdje nitko drugi ne bi tražio.
2822	Me llamo Jack.	466255	Zovem se Jack.
2936	La vida es bella.	942714	Život je lijep.
2973	Uno, dos, tres, cuatro, cinco, seis, siete, ocho, nueve, diez.	534049	Jedan, dva, tri, četiri, pet, šest, sedam, osam, devet, deset.
2980	No sé qué es peor.	1050226	Ne znam što je gore.
330981	¿Por qué dices eso?	1050976	Zašto kažeš to?
331794	La niña abrazó su muñeca.	945280	Djevojčica je zagrlila svoju lutku.
336526	Puedes conseguirlo en cualquier librería.	960581	Može se naći u bilo kojoj knjižari.
338205	Vigila mi bolso un momento.	1053855	Pričuvaj mi torbicu na tren.
339107	No puedo soportar el comportamiento de ella.	933854	Ne mogu trpiti njezino ponašanje.
345197	Él es bajo pero fuerte.	1051093	Malen je, ali jak.
345818	Guardaremos buenos recuerdos de este viaje.	2156912	To putovanje će ostati u lijepom sjećanju.
346265	Nunca se es demasiado viejo para aprender.	937043	Nikada nije kasno za učenje.
356203	¿Quién eres?	466240	Tko si ti?
375826	¿Qué pasó?	1053812	Što se dogodilo?
375866	¿Por qué está aquí?	1280910	Zašto je on ovdje?
376608	No sé.	1100756	Ne znam.
380198	Te amo.	567186	Volim te.
382058	¡Gracias!	2213774	Hvala!
431975	Hola.	466199	Bok.
432305	Los griegos también comen pescado a menudo.	1050928	Grci također jedu mnogo ribe.
436118	¿Cómo se dice "cat" en español?	478259	Kako se kaže "mačka" na španjolskom?
436872	Necesito medicina para el sueño.	1051044	Trebaju mi tablete za spavanje.
449153	¿Cómo te llamas?	468409	Kako se ti zoveš?
449777	A quien madruga Dios le ayuda.	658906	Tko rano rani, dvije sreće grabi.
453847	Por favor, compra algunas manzanas.	1051026	Kupi molim te nešto jabuka.
455728	¿Vives aquí?	936647	Živiš li ovdje?
461028	¿Cómo se llama?	476808	Kako se zove?
461028	¿Cómo se llama?	476823	Kako se zovete?
463027	Las mujeres trabajan en un restaurante.	1059397	Žene rade u restoranu.
463321	Esta es mi hermana. Se llama Julia.	695559	Ovo je moja sestra. Ona se zove Julia.
464363	Podemos oír la campana de la iglesia todas las mañanas.	945048	Možemo čuti crkvena zvona svakoga jutra.
473499	Tienes que trabajar más.	655361	Moraš više raditi.
477135	Sí.	478742	Da.
480349	Él se ve joven.	950881	Izgleda mlado.
488840	Mi padre vive y trabaja en Tokio.	1041041	Moj otac živi i radi u Tokiju.
491402	Me gusta Tom porque es honesto.	1051638	Sviđa mi se Tom jer je pošten.
496812	¿Quieres casarte conmigo?	1418226	Dali se želiš udati za mene?
497867	Todos los perros son fieles.	960525	Svi su psi vjerni.
497880	Yo lo estoy dejando a ti.	960534	To tebi ostavljam.
508664	El perro es mío.	493298	Pas je moj.
520003	Soy joven.	834700	Ja sam mlad.
520003	Soy joven.	834711	Ja sam mlada.
521189	Carl me enseñó la medalla de oro.	1477363	Carl mi je pokazao zlatnu medalju.
523840	Y colorín colorado, este cuento se ha acabado.	1402230	Čiča miča gotova priča.
531217	No sé si tendré tiempo.	655423	Ne znam hoću li imati vremena.
540511	Wang Lao Ji no es una cerveza, es té.	540501	Vang Lao Dži nije pivo. Čaj je.
544300	Ella es mi primer amor.	655477	Ona je moja prva ljubav.
556573	Espero volver a verte.	1054013	Nadam se ponovnom susretu.
558598	¿A qué hora te levantaste esta mañana?	1050925	Kada si ujutro ustao?
578835	Mañana me quedaré en casa.	958158	Sutra ću ostati kod kuće.
600621	El perro se llama Ken.	476812	Pas zove se Ken.
601186	Él se opone a la discriminación racial.	945070	Protiv je rasne diskriminacije.
606201	No puedo hablar en inglés, mucho menos en español.	933874	Ne znam engleski, još manje španjolski.
633426	¿Te llevas bien con tus nuevos compañeros de clase?	1051000	Snalaziš li se dobro sa svojim novim prijateljima iz razreda?
700214	Él es mi hermano mayor.	960491	On je moj stariji brat.
712963	Quiero querer lo que tú quieres.	1050267	Želim željeti ono što ti želiš.
718835	Ahora no tengo mucho tiempo.	1434449	Sada nemam puno vremena.
718844	No pude controlar mis lágrimas.	944982	Nisam mogao zadržati suze.
721793	Tardé cinco horas en leer este libro.	1051040	Trebalo mi je pet sati da pročitam tu knjigu.
727608	Estoy tan cansado que no puedo estudiar.	1053979	Tako sam umoran da ne mogu učiti.
728925	Acabo de limpiar mi cuarto.	2220508	Upravo sam očistio svoju sobu.
737913	No tengo tiempo para verte.	950031	Nemam vremena vidjeti te.
745261	Me encanta el sol.	745260	Volim sunce.
746512	Él me dio un anillo a medianoche.	958064	Telefonirao me je u ponoć.
755928	Ella no es alta.	755930	Ona nije visoka.
770914	A Tom le gusta más el té que el café.	955826	Tom voli čaj više nego kavu.
784934	¿Me vendrás a recoger a las 7 de la mañana?	935174	Hoćeš li me pokupiti u 7(sedam) sutra ujutro?
854130	¿A qué hora abre el club?	935213	Kada se otvara klub?
854773	Disculpe, ¿qué hora es?	944772	Oprostite, što je sati?
855710	¿Tiene usted una mesa junto a alguna ventana?	958032	Imate li jedan stol u blizini prozora?
856426	La media del espacio vital en América es el doble que la media de espacio vital en Japón.	936611	Prosječni prostor življenja u Americi je dva puta veći nego u Japanu.
861986	¿Es tuyo?	469007	Je li tvoje?
862545	Compré una lámpara vieja.	1041057	Kupio sam staru lampu.
865097	En boca cerrada no entran moscas.	1139195	Šutnja je zlato!
865465	Saldremos mañana por la mañana.	1053849	Sutra ujutro idemo.
867826	Es evidente que el comportamiento humano es más peligroso para el medio ambiente que la radiación.	2220482	Očigledno je da je ljudsko ponašanje opasnije nego zračenje.
902045	Ésta es mi mujer, Edita.	478207	Ovo je moja žena Edita.
919025	No sueñes con tu vida, en su lugar vive tus sueños.	936529	Ne sanjaj svoj život, nego živi svoj san.
919027	Llamamos a nuestro perro "White".	936546	Nazvali smo našeg psa "White".
919030	Ayer bebió mucho.	936547	Popio je previše jučer.
919032	Estoy loco por el fútbol americano.	936550	Zaluđen sam američkim nogometom.
919034	Soy un héroe.	936551	Ja sam heroj.
921577	Mi esposa se llama Lidia Zarębowa.	936561	Moja žena se zove Lidia Zarębowa.
926452	Cierren todas las puertas y ventanas.	935237	Zatvorite sva vrata i prozore.
937859	Es su coche.	1131696	To je njegov automobil.
941397	Hay muchos parques en nuestra ciudad.	1051024	Mnogo je parkova u našem gradu.
942108	Voy a contarte un secreto.	960371	Otkrit ću ti jednu tajnu.
952522	¿Qué te gusta más, el verano o el invierno?	955841	Što više voliš, ljeto ili zimu?
952534	No me gusta salir cuando está oscuro.	955850	Ne volim ići van kada je mrak.
956709	Somos hermano y hermana.	1333041	Mi smo brat i sestra.
991375	Hemos destruido el paraíso y el infierno.	1048067	Razorili smo raj i pakao.
998903	El nuevo banco está en la calle Baker.	1041620	Nova banka je u ulici Baker.
1001404	Despiértate a las siete, por favor.	1050995	Probudi se u sedam, molim te.
1005329	El griego y el latín son idiomas útiles, por eso los estudio.	2197364	Grčki i latinski su korisni jezici, zato ih učim.
1006453	El crecimiento trimestral de 1.2% significa una tasa de crecimiento anual de 4.8%.	1053848	Tromjesečni rast od 1.2% znači godišnji rast od 4.8%.
1036484	Nuestro avión estaba sobrevolando el océano Pacífico.	1054009	Naš zrakoplov je letio pacifičkim oceanom.
1046967	Me llamo Sally.	1057651	Zovem se Sally.
1067866	El chico se burló de la chica.	2208281	Dječak je ismijao djevojčicu.
1068538	Estoy bebiendo una cerveza.	1060337	Upravo pijem pivo.
1087823	¿Cómo se llama tu amigo?	486672	Kako se zove tvoj prijatelj?
1102412	Las metáforas son mucho más tenaces que los hechos.	2156992	Metafore su mnogo jače nego činjenice.
1104145	Yo soy una mujer.	1122521	Ja sam žena.
1152138	Ven a ayudarme.	2213800	Dođi i pomozi mi.
1168861	Yo soy policía.	1168649	Ja sam policajac.
1178632	Tú eres mi madre.	1342265	Ti si moja majka.
1189969	¿Puedes distinguir la plata del estaño?	1051006	Možeš li razlikovati srebro od kositra?
1193536	Ayer me fui a la cama a las diez.	1102044	Jučer sam išao u deset, u krevet.
1198554	No soy médico.	2743263	Nisam doktor.
1199335	No te inquietes, estoy seguro de que eso te va a convenir.	1101938	Ne uzrujavaj se, garantiram, da će ti to savršeno stajati.
1218504	¡No acepto la propuesta y punto!	2208818	Ne prihvaćam ponudu! Kraj priče!
1236825	¿Qué hace tu padre?	1040996	Što radi tvoj otac?
