2486	¡Feliz cumpleaños, Muiriel!	579400	יום הולדת שמח, מיוריאל!
2509	A veces él puede ser un chico raro.	579524	לפעמים הוא יכול להיות ילד מוזר.
2520	Eres tan impaciente conmigo.	575970	אתה כל כך חסר סבלנות אליי.
2535	¡Date prisa!	579452	תמהר!
2543	Cuando crezca, quiero ser un rey.	1088590	כשאגדל, אני רוצה להיות מלך.
2550	Eso fue probablemente lo que influenció su decisión.	577914	זה כנראה מה שהשפיע על החלטתו.
2555	Algunas veces no puedo evitar mostrar mis sentimientos.	592109	לפעמים אני לא יכולה שלא להראות את רגשותיי.
2555	Algunas veces no puedo evitar mostrar mis sentimientos.	592110	לעתים אני לא יכול להסתיר את רגשותיי.
2573	Todas las personas que están solas, están solas porque tienen miedo de los demás.	575961	כל האנשים שנמצאים לבד עושים זאת מפני שהם מפחדים מזולתם.
2635	Entonces voy a hacer un sudoku en vez de seguir molestándote.	1367613	אם כך אפתור סודוקו במקום להמשיך להציק לך.
2638	Eso no es ninguna gran sorpresa, ¿o sí?	615114	זאת לא ממש הפתעה; או שאולי כן?
2638	Eso no es ninguna gran sorpresa, ¿o sí?	615118	זאת לא ממש הפתעה; או שאולי בכל זאת?
2648	Ya no sé qué hacer.	565417	אני כבר לא יודע מה לעשות.
2648	Ya no sé qué hacer.	565418	אני כבר לא יודעת מה לעשות.
2679	No tengo a nadie que viaje conmigo.	627110	אין לי אף אחד שייסע אתי.
2706	"¿Quién es?" "Es tu madre."	1180202	"מי זו?" "זו אמך."
2725	Un japonés nunca haría tal cosa.	592483	יפני לעולם לא היה עושה דבר כזה.
2738	He vivido más de un mes en Nagoya.	575950	חייתי יותר מחודש בנאגויה.
2771	Las mates son como el amor: una idea simple, pero puede complicarse.	584361	מתמטיקה היא כמו אהבה - רעיון פשוט שעלול להסתבך.
2797	Puedo ir caminando a la escuela en 10 minutos.	2489775	אני יכולה להגיע לבית הספר בעשר דקות הליכה.
2808	Esta es mi amiga Rachel, fuimos al instituto juntos.	2489779	זו חברתי רייצ'ל, למדנו יחד בתיכון.
2840	¿Es grave?	577899	זה חמור?
2843	Amar a alguien no es nunca un desperdicio.	2483326	לאהוב מישהו זה אף פעם לא בזבוז.
2850	¡Hay demasiadas cosas que hacer!	2483327	יש יותר מדי דברים לעשות!
2852	Vamos, juega conmigo, ¡estoy tan aburrido!	2483329	קדימה, תשחק איתי, אני כל כך משועמם!
2873	Hable más despacio, ¡por favor!	2177712	אנא ממך, דבר לאט יותר!
2874	No entiendo.	1686143	אני לא מבין.
2876	La cuenta, por favor.	700401	את החשבון, בבקשה.
2876	La cuenta, por favor.	700400	חשבון, בבקשה.
2879	¿Dónde podemos telefonear?	584426	היכן נוכל לטלפן?
2904	Estoy casada y tengo dos niños.	575948	אני נשואה ויש לי שני ילדים.
2922	¡Toma un libro y léelo!	608018	קח ספר וקרא אותו!
2922	¡Toma un libro y léelo!	608020	קח לך ספר וקרא בו!
2928	Tienes razón.	1434841	אתה צודק.
2931	Eres mi tipo.	678312	אתה הטיפוס שלי.
2934	¿Con quién hablo?	579676	עם מי הוא דיבר?
2935	¡Sonríe ahora, llora después!	329901	חייך עכשיו, תבכה אחר-כך!
2937	¿Por qué casarse con una mujer si le gustan los hombres?	579360	מדוע שיתחתן עם אישה אם הוא אוהב גברים?
2941	No quiero ir a la escuela.	576326	לא רוצה ללכת לבית הספר.
2961	¿De qué estás hablando?	566108	על מה אתה מדבר?
2961	¿De qué estás hablando?	566109	על מה את מדברת?
3013	La industria textil se adaptará a un mercado de libre competencia en los próximos años.	575916	בשנים הקרובות, תעשיית הטקסטיל תסתגל לשוק תחרות חופשית.
3023	En cualquier caso hay que votar sí en el referéndum del 18 de febrero.	727721	בכל מקרה, יש להצביע "כן" במשאל העם של 18 בפברואר.
3024	Las despedidas siempre son tristes.	2227734	פרידות הן תמיד עצובות.
3038	No tuve tiempo ni para ir de compras ni para despedirme de mi madre.	2227732	לא היה לי זמן ללכת לקניות וגם לא להיפרד מאמי.
3067	Necesito tu consejo.	2138203	אני זקוק לעצתכם.
3077	El axioma de Cole: La suma de la inteligencia de la humanidad es constante; la población crece.	576322	הנחת היסוד של קול: סך התבונה באנושות קבוע, האוכלוסיה גדלה.
3088	Este es el chico en quien pienso.	575964	זה הילד עליו אני חושב.
9468	Quiero ir al extranjero.	337792	אני רוצה לנסוע לחו"ל.
12820	"Mi padre no bebe alcohol." "El mío tampoco."	2810883	"אבא שלי לא שותה אלכוהול". "גם אבא שלי לא".
12820	"Mi padre no bebe alcohol." "El mío tampoco."	2810884	"אבא שלי לא שותה". "גם אבא שלי".
14177	¿Cuánto costaría aproximadamente ir en taxi desde aquí?	579420	כמה יעלה בקירוב נסיעה במונית מכאן?
119848	¿Qué hacía tu madre cuando volviste a casa?	1268171	מה עשתה אמך כשחזרת הביתה?
120060	Intentaron asesinar al presidente.	575971	הם התכוונו להתנקש בנשיא.
120062	Se fue sin despedirse.	2227730	הוא עזב בלי להיפרד.
126587	No puedes aparcar tu coche aquí.	576005	אתה לא יכול להחנות את הרכב כאן.
135806	Yamamoto también es uno de mis amigos.	1922793	גם יאמאמוטו נמנה על ידידי.
135806	Yamamoto también es uno de mis amigos.	1922799	גם ימאמוטו הוא אחד מחבריי.
138817	Es peligroso telefonear y conducir a la vez.	634712	מסוכן לדבר בטלפון ולנהוג בעת ובעונה אחת.
180552	Sería divertido ver cómo las cosas cambian a través de los años.	558323	היה מבדר לראות איך דברים משתנים במהלך השנים.
329764	El deporte es bueno para la salud.	575981	התעמלות טובה לבריאות.
329768	Son las diez en punto.	629463	השעה עשר בדיוק.
329789	Para muchas mujeres, el amor es lo primero.	722087	עבור נשים רבות, האהבה היא במקום הראשון.
329848	Una botella de vino, por favor.	575908	בקבוק יין, בבקשה.
329875	No olvides pegar el sello a la carta.	1172454	אל תשכח להדביק את הבול על המעטפה.
329875	No olvides pegar el sello a la carta.	1172457	אל תשכחי להדביק את הבול על המעטפה.
329885	No cuelgue y espere un momento, por favor.	732936	אל תנתק ותמתין רק רגע, בבקשה.
329900	Suelo oírla tocar el piano.	579544	אני שומע אותה מנגנת בפסנתר לעיתים קרובות.
329954	En nuestra clase hay 25 chicos y 20 chicas.	579560	בכיתה שלנו יש 25 ילדים ו-20 ילדות.
329968	Ese aeropuerto está en la Bahía de Osaka.	1234746	נמל התעופה הזה נמצא במפרץ אוסקה.
329996	Paseo todos los días, excepto cuando llueve.	2481892	אני יוצא להליכה מדי יום, למעט ימים גשומים.
329997	Algún día mi sueño se hará realidad.	2481895	יום יבוא והחלום שלי יהפוך למציאות.
329998	Esa casa se quemó por completo en un incendio.	2481903	הבית הזה נשרף עד היסוד בשריפה.
330002	¿Desea tomar algo más?	575918	אתה רוצה עוד?
330003	Hablamos durante un momento.	2481906	דיברנו כמה רגעים.
330047	Comencemos desde la lección 3.	584371	נתחיל משיעור שלוש.
330088	Tienes que jurar que cumplirás la promesa.	579411	אתה צריך להישבע שתמלא הבטחתך.
330091	Está nevando.	1410122	יורד שלג.
330106	Él se sentó junto a ella.	575944	הוא התיישב לידה.
330145	Los humanos se diferencian de los animales en la capacidad de hablar.	579531	האנשים נבדלים מהחיות ביכולתם לדבר.
