2553	Me tomaría una eternidad explicarte todo.	473404	Það mun taka heila eilífð að útskýra það allt saman.
2609	Gracias por tu explicación.	763068	Takk fyrir útskýringuna.
2639	Te quiero.	382267	Ég elska þig.
2685	No hablo japonés.	399287	Ég tala ekki japönsku.
2712	"Confía en mí", dijo él.	511292	„Treystu mér,“ sagði hann.
2726	Allen es un poeta.	385228	Allen er skáld.
2822	Me llamo Jack.	395870	Ég heiti Jack.
2859	Nadie vino.	386186	Enginn kom.
2889	¡Feliz Navidad!	473056	Gleðileg jól!
2936	La vida es bella.	478602	Lífið er fallegt.
334222	Mi padre dejó de beber.	666944	Faðir minn hætti að drekka.
339053	Estos son nuestros libros.	651873	Þetta eru bækurnar okkar.
346265	Nunca se es demasiado viejo para aprender.	482336	Það er aldrei of seint að læra.
380198	Te amo.	382267	Ég elska þig.
382058	¡Gracias!	397461	Takk!
385068	¿Son americanos?	385004	Eru þau amerísk?
439829	Ahora recuerdo.	439905	Nú man ég.
460405	¿Me quieres?	428085	Elskarðu mig?
463430	Estudio coreano.	473518	Ég læri Kóresku.
473470	Tenemos hambre.	385429	Við erum svöng.
477135	Sí.	479367	Já.
479868	Sumatra es una isla.	479360	Súmatra er eyja.
479901	Lisa Lillien está casada con Dan Schneider.	479357	Lisa Lillien er gift Dan Schneider.
491132	¿Cuál es tu guitarra?	763080	Hver er gítarinn þinn?
504549	¿Por qué no?	504731	Af hverju ekki?
506766	Hoy estaba muy cansado.	1142205	Ég var mjög þreyttur í dag.
531393	Ahora estoy libre.	736721	Ég er frjáls núna.
535236	¡Hola! ¿Qué tal?	427052	Hæ! Hvað segirðu?
535237	¡Hola! ¿Cómo estás?	427052	Hæ! Hvað segirðu?
535238	¡Hola! ¿Qué tal estás?	427052	Hæ! Hvað segirðu?
622375	Todos lo aman.	505716	Allir elska hann.
740567	Tiene mucho dinero.	669555	Hún á mikið af peningum.
746263	Ha vivido mucho tiempo en Islandia.	738496	Hann bjó lengi á Íslandi.
747589	Soy una mujer.	695106	Ég er kona.
763329	¿Qué significa "Tatoeba"?	764212	Hvað þýðir „Tatoeba“?
779854	"Madeira" es el nombre de un vino.	383522	Madeira er nafn á víni.
783620	John sintió la presencia de un fantasma en el cuarto oscuro.	746621	John fann fyrir nærvist draugs í dimmu herberginu.
832056	Un buen libro es el mejor amigo, ahora y siempre.	391723	Góð bók er hinn besti vinur, eins í dag og um alla framtíð.
855798	Él es seis años mayor que yo.	673831	Hann er sex árum eldri en ég.
856125	Hablas español muy bien.	690350	Þú talar mjög vel spænsku.
857189	No tienes que ir al colegio los domingos.	495525	Þú þarft ekki að fara í skólann á sunnudaginn.
859232	Él tiene miedo de papá.	690291	Hann er hræddur við pabba.
863722	Me gusta él.	1315552	Ég kann vel við hann.
863722	Me gusta él.	1315553	Mér líkar vel við hann.
863844	¿Desde cuándo la conoces?	451904	Hversu lengi hefurðu þekkt hana?
867271	Sí, pero será difícil.	388935	Já, en það verður erfitt.
900663	Pasarán entre cinco y diez años antes de que la tecnología esté preparada.	389224	Það mun taka fimm til tíu ár áður en tæknin verður tilbúin.
964218	Fue in viaje largo y duro pero al final llegamos a nuestro destino.	750470	Þetta var löng og ströng ferð en við erum loksins komin á leiðarenda.
1070646	Estaba acostado boca arriba.	513951	Hann lagðist á bakið.
1121182	Hay una clara diferencia entre esos dos.	647400	Það er skýr munur á milli þeirra tveggja.
1126365	¿Cómo se gana la vida?	385010	Hvernig sér hann fyrir sér?
1126478	¡Ayúdame!	664728	Hjálpaðu mér!
1126479	¡Ayúdenme!	664728	Hjálpaðu mér!
1126480	¡Ayúdeme!	664728	Hjálpaðu mér!
1126496	¡Ayudadme!	664728	Hjálpaðu mér!
1203921	Un pequeño fuego en un bosque puede propagarse con facilidad y rápidamente convertirse en un gran incendio.	384717	Lítill skógareldur getur auðveldlega breiðst út og fljótlega orðið að stóru báli.
1214010	Nuestro carácter se ve afectado por el entorno.	674571	Umhverfið hefur áhrif á persónuleika okkar.
1214277	John Lennon nació en 1940.	745050	John Lennon fæddist árið 1940.
1276666	Está orgulloso de ser músico.	677872	Hann er stoltur af því að vera tónlistarmaður.
1277043	Corrí para llegar a tiempo.	391481	Til að vera á réttum tíma hljóp ég.
1277043	Corrí para llegar a tiempo.	391482	Ég hljóp til að vera á réttum tíma.
1279873	Ella rompe algo cada vez que limpia la habitación.	906683	Hún brýtur eitthvað í hvert skipti sem hún þrífur herbergið.
1292912	Él está orgulloso de ser un músico.	677872	Hann er stoltur af því að vera tónlistarmaður.
1302109	Estaba en casa.	1316588	Ég var heima.
1322535	La cara de Tom está roja.	1323648	Andlitið á Tom er rautt.
1365427	Mandé mi reloj a arreglar.	1353605	Ég lét gera við úrið mitt.
