2517	Deberías dormir.	1063737	Kamu harus tidur.
2535	¡Date prisa!	1121100	Cepatlah!
3006	Si usted no dispone de este programa puede descargarlo ahora.	1065629	Bila anda tidak memiliki program ini, anda dapat mendownloadnya sekarang.
338873	Su padre lo llama "Tom".	331520	Ayahnya memanggilnya Tom.
339769	Sí, por lo visto fue mala diagnosis.	989581	Ya, sepertinya ada salah diagnosa.
340214	Él vive junto a mi casa.	779160	Dia tinggal di sebelah rumah saya.
355008	Las enfermeras en general tienen derecho a tomar tres semanas de vacaciones al año.	940050	Rata-rata perawat mendapat cuti 3 minggu dalam setahun.
355063	Él reunió varios datos.	1121101	Dia mengumpulkan berbagai data.
358458	¿Qué diccionario usaste como referencia?	1503816	Kamus mana yang ingin kamu jadikan rujukan?
375830	¡Cuidado!	331483	Awas!
434845	¿Tiene una talla más pequeña?	940415	Apakah ada ukuran yang lebih kecil?
451642	Date prisa o perderás el avión.	1121102	Cepatlah, atau kamu akan ketinggalan pesawat.
455678	Él intenta dejar de fumar.	1503815	Dia mencoba berhenti merokok.
455828	Estoy aburrido.	3669330	Saya bosan.
479952	Me encantaría escribir cientos de frases en Tatoeba, pero tengo cosas que hacer.	1503830	Saya suka menulis ratusan kalimat di Tatoeba, namun ada beberapa hal yang harus kulakukan.
491232	Date prisa o perderás el tren.	1121105	Cepatlah, atau anda akan ketinggalan kereta.
537408	Qué pena.	806365	Sayang sekali.
580866	Bin vivía en Singapur.	1101397	Bin tinggal di Singapura.
613002	Este hotel no sirve el almuerzo.	1022439	Hotel ini tidak menyediakan makan siang.
638833	Los pensamientos y los sentimientos se expresan con palabras.	1802047	Pemikiran dan perasaan akan tergambarkan dari kata-kata.
638841	Esa tradición nació en China.	1802048	Tradisi ini berasal dari Cina.
638845	La costumbre se originó en China.	1802049	Adat istiadat ini berasal dari Cina.
640388	Sé que hay gente que puede verlo.	1505055	Saya tahu ada beberapa orang yang bisa melihatnya.
700796	Estoy hablando con mi alumno.	1503825	Aku sedang berbicara dengan muridku.
725743	Nunca podemos deshacernos del pasado.	986167	Kita tidak dapat lepas dari masa lalu.
734082	Él es poco realista.	1503821	Dia tidak realistik.
738328	Llama a una ambulancia.	1241323	Panggil ambulan！
754628	¡Él está aquí!	1503820	Dia di sini!
755900	¿A usted le gusta la música?	1541675	Apa kamu suka musik?
759893	El barco transporta materia prima de Indonesia.	1505039	Kapal itu mengangkut bahan mentah dari Indonesia.
774793	¿Quieres ir?	774779	Kamu ingin pergi?
774794	¿Usted quiere ir?	774779	Kamu ingin pergi?
793390	¿Está disponible ese asiento?	1065630	Apakah bangku ini kosong?
816714	Ella ama a sus niños.	3253781	Dia mencintai anak-anaknya.
828991	Sólo hay una cosa por hacer.	1503824	Hanya ada satu hal yang bisa kulakukan.
850009	¿La próxima semana estarás disponible para una cita?	1065631	Apakah anda punya waktu untuk pertemuan minggu depan.
851029	Buenas noches, mamá.	366002	Selamat tidur, Bu.
851033	Vamos a tomar el metro.	940030	Mari naik kereta bawah tanah.
853544	Parece lluvia.	1503826	Nampaknya hujan.
854429	¿Hay alguien que pueda pronunciar esta palabra?	1503818	Apakah ada orang yang bisa melafalkan kalimat ini?
859564	¿Hay una habitación disponible para esta noche?	1065633	Apakah ada kamar yang tersedia untuk malam ini?
859807	Es difícil contentar a todo el mundo.	1509228	Susah sekali memuaskan semua pihak.
860160	Keiko me informó la llegada de su vuelo.	1019381	Keiko memberitahu aku tentang kedatangan pesawatnya.
862787	El médico no está disponible.	1065634	Dokter tidak ada saat ini.
863158	Los chinos son grandes trabajadores.	940422	Orang Cina suka bekerja keras.
958624	Lo despidieron por robar.	1505052	Dia dipecat karena mencuri.
964360	El doctor sólo está disponible los días laborables.	1065636	Dokter hanya ada pada hari kerja.
964368	Cuanta más gente conoce, de menos tiempo dispone usted para visitarlos.	1065638	Semakin banyak teman yang anda kenal, semakin banyak waktu yang anda miliki untuk mengunjungi mereka.
982688	¿Qué significan las estrellas en la bandera de Brasil?	1509266	Apa maksud dari bintang yang ada di bendera Brasil?
990514	El hombre propone, la mujer dispone.	1065647	laki-laki yang menginginkan, wanita yang mengaturnya.
998898	Trabajé en un banco.	1503823	Dulu, saya pernah bekerja di bank.
1037239	Este libro es acerca de las estrellas.	816376	Buku ini tentang perbintangan.
1059963	Me siento muy mal.	1503827	Saya merasa sakit parah.
1085993	Creo que él triunfará.	1503829	Saya pikir dia akan berhasil.
1091520	El maestro, al no oír la campana, no paró de hablar.	1503817	Guru itu, tanpa mendengar lonceng, terus saja berbicara.
1285524	Cuando niño pasé muchos años en Indonesia y oí el adhan al amanecer y al atardecer.	1505040	Saya pernah tinggal selama bertahun-tahun pada masa kanak-kanak di Indonesia. Di sana saya mendengar suara Azan pada subuh dan maghrib.
1355620	La vida es un largo, largo camino.	1503828	Hidup itu seperti jalan, jalan yang panjang.
1392662	Aprender lenguas extranjeras es aburrido.	1503790	Belajar bahasa asing membosankan.
1493261	Tom no sabe mucho acerca de Indonesia.	3363180	Tom tidak mengetahui banyak hal tentang Indonesia.
2050395	¡Ve con Dios!	2051898	Pergi bersama Tuhan!
2378590	Papá se aseguró de que todas las luces estuvieran apagadas antes de irse a dormir.	1372418	Ayah memastikan semua lampu telah padam sebelum pergi tidur.
2382906	El piloto se someterá a un test de drogas.	2382907	Pilot akan menjalani tes narkoba
2413967	¿Te gusta la comida indonesia?	3363181	Apakah anda menyukai makanan Indonesia?
2736043	Los niños son las flores de nuestra vida.	2761229	Anak-anak adalah bunga dari kehidupan kita.
2909082	Este cuarto tiene tres ventanas.	1257122	Ada tiga jendela di ruangan ini.
3523743	El agua es verde.	3522346	Airnya berwarna hijau.
3524332	Me gusta ir a pescar con mi papá.	3508179	Aku suka pergi memancing dengan ayahku.
3524354	Mañana iremos de Fráncfort a Múnich.	3515739	Besok kami akan pergi dari Frankfurt ke München.
3642000	Yo no les temo a los fantasmas.	3213142	Saya tidak takut hantu.
3655930	¿Acaso sabe Tom qué se debe hacer con esto?	3507323	Apakah Tom mengetahui apa yang harus dilakukan dengan ini?
3668664	Soy aburrido.	3669229	Saya membosankan.
2580987	Haré lo que pueda.	2727526	Akan kulakukan yang kubisa.
539374	Mi abuelo murió hace cinco años.	1800253	Kakek saya sudah meninggal semenjak 5 tahun yang lalu.
449153	¿Cómo te llamas?	3371508	Siapa namamu?
3854729	¿Cuál es tu número favorito?	3780729	Apa angka favoritmu?
3854880	Cuando sea grande, quiero ser rey.	3809945	Saat besar nanti, aku ingin menjadi raja.
3857382	Las mujeres cambian el mundo.	3807378	Wanita mengubah dunia.
1555948	Acabo de comer.	3871999	Aku baru makan.
1198508	Se puede confiar en él.	3886451	Dia bisa dipercaya.
3886464	Nosotros siempre obedecemos las reglas.	3886449	Kami selalu patuh terhadap peraturan.
3886466	¿Quién borró el archivo?	3886446	Siapa yang menghapus berkasnya?
3888777	Yo pasaré más tarde.	3888741	Saya akan datang nanti.
3888779	Pasaré más tarde.	3888741	Saya akan datang nanti.
3888786	Estaremos felices.	3888736	Kami akan senang.
3941463	Esto es un gato.	3362943	Ini kucing.
1595436	Estoy comiendo pan.	2763117	Aku sedang makan roti.
4404977	La comida coreana es generalmente picante.	4381895	Masakan Korea pada umumnya pedas.
4419597	Soy bien papa para los aparatos.	4420179	Saya gaptek.
461022	¿Qué?	4405181	Apa?
1308776	¿Cómo está usted?	400939	Bagaimana kabar Anda?
4461784	Hoy tengo tiempo libre.	1804173	Hari ini saya ada waktu luang.
4464232	Tom me lo explicó.	3764014	Tom menjelaskannya padaku.
3039076	Mañana podré reposar.	3046359	Besok, saya akan bisa istirahat.
4472883	Los fumadores mueren más jóvenes.	3936518	Para perokok meninggal lebih muda.
4476931	Es experto en literatura.	1503791	Dia mahir dalam sastra.
4541389	Ya leí su libro.	4224650	Saya sudah membaca bukunya.
576768	Tom es mi amigo.	4549895	Tom itu temanku.
576768	Tom es mi amigo.	4549893	Tom adalah temanku.
1286090	Se cayó un tenedor de la mesa.	4555977	Garpu jatuh dari meja.
3162987	Regresaré en tres horas.	4556013	Saya akan kembali dalam tiga jam.
1394282	El auto es azul.	4556034	Mobilnya biru.
4329313	Esto es muy chévere.	4556140	Ini sangat keren.
1357416	Lo heriste.	4556269	Kamu menyakiti dia.
1249571	Ellas nadaban.	4556281	Mereka berenang.
513019	Soy japonés, pero no vivo en Japón.	4556290	Saya orang Jepang, tetapi tidak tinggal di Jepang.
