858819	¿Has estado alguna vez en el extranjero?	7026859	Telliḍ yakkan deg tmurt tabeṛṛanit?
858819	¿Has estado alguna vez en el extranjero?	7026858	Truḥeḍ yakkan ar tmurt tabeṛṛanit?
7031071	Despacito, y buena letra.	7031046	Aggaḍ ikad ad naweḍ.
853351	¡Adiós!	7031989	Ar tufat!
523482	Ahora me he decidido.	7032188	Tura dɣa i-tt friɣ di ṛṛay-iw.
2220588	Nadie la está observando.	7042853	Yiwen ur tt-ittmuqqul.
2220588	Nadie la está observando.	7042854	Yiwen ur ittmuqqul ɣuṛ-s.
2220588	Nadie la está observando.	7042855	Ulac win i tt-ittmuqqulen.
2220588	Nadie la está observando.	7042856	Ulac win yettmuqqulen ɣuṛ-s.
1088459	Adoro a mi familia.	7046718	Ḥemmeleq aṭas tawacult-iw.
2194779	¿Cuál es el río más largo de Japón?	7046831	Anwa asif iy ɣezzifen yark di Japan?
1741733	No se lo digas a tu madre.	7047297	Ur s-qqaṛ ara i yemma-k.
1741733	No se lo digas a tu madre.	7047301	Ur s-t-qqaṛ ara i yemma-k.
1741733	No se lo digas a tu madre.	7047303	Ur s-qqaṛet ara i yemma-twen.
1741733	No se lo digas a tu madre.	7047306	Ur s-t-qqaṛet ara i yemma-twen.
1686887	Ese chico es realmente tímido.	7052121	Yettsetḥi aṭas weqcic-a.
1686887	Ese chico es realmente tímido.	7052123	Yettsetḥi mliḥ weqcic-a.
4351037	Al fin y al cabo no voy a ir.	7054905	Ur ttṛuḥuɣ sani.
4351037	Al fin y al cabo no voy a ir.	7054906	Ulac anda ara ṛuḥeɣ.
2362546	Mi hermana es bella.	7056923	Tecbeḥ wttma.
2362546	Mi hermana es bella.	7056924	Tecbeḥ uletma.
2362546	Mi hermana es bella.	7056926	Melliḥet wettma.
2362546	Mi hermana es bella.	7056927	D tabuguṣt wettma.
1667341	Las flores del jardín son hermosas.	7062559	Cebḥent tjeǧǧigin-nni i yellan deg tebḥirt.
2112039	¿A quién debería informar?	7050355	Anwa ara d-xebbṛeɣ?
2112039	¿A quién debería informar?	7050356	Anta ara d-xebbṛeɣ?
2112039	¿A quién debería informar?	7050357	I wana ara d-iniɣ?
2112039	¿A quién debería informar?	7050358	I tanta ara d-iniɣ?
346280	Sin ser trabajador, no se puede tener éxito.	7079630	Ma yella ur txeddmeḍ ara, ur ṭṭamaɛ ara ad trebḥeḍ.
2127285	Tom quería cambiar su vida.	7082036	Yeεreḍ Tom ad ibeddel tudert-is.
7084880	La casa es casa suya.	7084156	Axxam d axxam-im.
4524016	Él no va.	7084172	netta ul iteddu ani
7084882	Soy yo quien iré por ustedes.	7084171	D nek an i d-yas ɣur-wen.
7084883	¿Hay una manera para que me abras la puerta?	7084503	Yella wamek ar ad iyi-d telliḍ tabburt?
7084884	¿Podrías abrirme la puerta?	7084504	Tezemreḍ ad iyi-d telliḍ tabburt?
7084884	¿Podrías abrirme la puerta?	7084505	Tezemreḍ ad iyi-d telliḍ tawwurt?
7084884	¿Podrías abrirme la puerta?	7084506	Tezemreḍ ad iyi-d telliḍ tappurt?
