338728	Nadie me prestó ayuda.	349431	Tiada sesiapa yang membantu saya.
338845	Tiene la costumbre de dejar la puerta abierta.	2883759	Dia ada tabiat membiarkan pintu terbuka.
339955	Mañana a esta hora estaré en Londres.	1403408	Esok, pada masa ini, saya akan berada di London.
355027	Juego al fútbol todos los días.	961971	Saya bermain bola sepak setiap hari.
435073	Es más bajo que su padre.	1403308	Dia lebih rendah daripada bapanya.
456484	Mi corbata es naranja.	1021700	Tali leher saya ialah oren.
570871	¿Cuál es tu cantante favorito?	1250575	Siapakah penyanyi kegemaran awak?
627044	¿Podrías enviarme un folleto?	1014539	Bolehkah hantarkan saya satu brosur?
634726	¿Puedo darte un consejo?	634162	Boleh saya beri awak sedikit nasihat?
711074	Cuando termine el trabajo te llamo.	2883745	Selepas selesai kerja saya akan telefon awak.
726967	Cuando el semáforo indica la luz amarilla, nos detenemos.	963239	Ketika lampu isyarat menunjukkan warna kuning, kami berhenti.
816056	Voy a cumplir dieciséis en septiembre.	2883775	Saya akan jadi enam belas tahun September ini.
832071	Los dos hermanos murieron.	971308	Kedua-dua adik-beradik itu telah mati.
843356	Soy musulmana.	789907	Saya orang Islam.
859545	¿Cómo estás, Mike?	1008180	Awak apa khabar, Mike?
863196	Ella no cocina bien.	1230163	Dia tidak boleh memasak dengan baik.
923325	Él rescató un gato de un árbol alto.	961234	Dia telah menyelamatkan seekor kucing daripada sebatang pokok yang tinggi.
977095	Le gusta jugar al fútbol.	977101	Dia suka bermain bola sepak.
1085415	¿Crees en un dios?	1216870	Awak percaya kepada Tuhan?
1119975	Tarde o temprano se enterará del secreto.	1838989	Lambat atau cepat, dia akan tahu tentang rahsia itu.
1123760	¿De qué hablas?	2883750	Apa yang kamu cakapkan ini?
1355604	La mesa es verde.	3276540	Meja itu hijau.
1705530	Cinco minutos después ella apareció desde la cocina.	2883748	Selepas lima minit, dia muncul daripada dapur.
2869240	Él tiene la habilidad de hacer el trabajo.	2883777	Dia berkebolehan untuk melakukan kerja itu.
2883770	Ese bebé se cansó de llorar y se durmió.	2883766	Bayi itu tertidur setelah letih menangis.
2869213	Poco después salió la luna.	2869205	Setelah seketika, muncul bulan.
342338	Él vive en Tokio.	1230215	Dia tinggal di Tokyo.
1876539	Ella vive en Tokio.	1230215	Dia tinggal di Tokyo.
687629	¿Dónde está?	3351796	Mana dia?
696545	¿Dónde está él?	3351796	Mana dia?
3850880	¿Dónde está ella?	3351796	Mana dia?
3854886	Quiero ser un rey cuando sea un adulto.	720366	Saya ingin menjadi seorang raja apabila saya menjadi dewasa.
3885749	Estoy muy feliz.	635120	Saya sangat gembira.
1153430	Yo me siento feliz.	972212	Saya berasa gembira.
461022	¿Qué?	372564	Apa?
4648228	Nos gustaría vivir en esta aldea y estudiar el idioma Kadazan.	4631047	Kami ingin tinggal di kampung ini dan belajar bahasa Kadazan.
1285357	¡Fuego! ¡Corran!	971926	Api! Lari!
502366	¿Qué es el amor?	3936327	Cinta itu apa?
502366	¿Qué es el amor?	3936568	Apa itu cinta?
502366	¿Qué es el amor?	3936325	Apakah itu cinta?
734246	Ojalá hubiera más variedad en mi trabajo.	4863209	Saya berharap ada lebih banyak variasi dalam pekerjaan saya.
5364068	El chino es más difícil que otras lenguas extranjeras.	634205	Bahasa Cina lebih susah dari bahasa asing lain.
3118307	¿Es él malayo?	5687110	Dia rakyat Malaysia ke?
6172296	El libro es chico.	634156	Buku itu kecil.
2409022	Recientemente he dejado de temer "vivir en la vergüenza" y hacerme "ridiculizar ante el público".	6559576	Baru-baru ini saya tidak lagi takut untuk "hidup dalam malu" dan terdedah kepada "penolakan awam".
6928788	Él fue lo suficientemente amable para mostrarme cómo llegar a la estación.	6894205	Dia cukup baik untuk menunjukkan jalan ke stesen.
6928789	Él no puede hacer nada más que quedarse en silencio.	6571393	Dia tidak boleh berbuat apa-apa tetapi berdiam diri.
2992133	La ley nace de la desesperación de la naturaleza humana.	8241370	Undang-undang dilahirkan dari keputusasaan manusia.
1410172	Tom esperaba que costaría mucho más.	8668615	Tom menjangkan harganya yang lebih termahal.
2102233	Solo quería asegurarme de que todos estaban despiertos.	8749341	Saya cuma nak memastikan semua orang terjaga.
1674214	Se ha marchado del hospital hace una hora.	8867116	Dia meninggalkan hospital sejam yang lalu.
3272929	Él me evita.	9133871	Dia mengelakkan saya.
2438342	Quiero ir a Tokio.	961118	Saya mahu pergi ke Tokyo.
1011009	Soñé algo maravilloso anoche.	9190018	Saya mengimpikan sesuatu yang indah semalam.
