475005	¡Hola mundo!	1078329	Hallo verden!
564505	¿Sí o no?	1980635	Ja eller nei?
605707	Me duele todo el cuerpo.	1982837	Det gjer vondt i heile kroppen.
632690	Ella siempre se levanta a las seis.	1987110	Ho står alltid opp seks.
931594	Tengo otro amigo en China.	1981363	Eg har ein ven til i Kina.
1319724	No sé cómo interpretar sus palabras.	339217	Eg veit ikkje korleis eg skal tolke orda hans.
1869317	Psicólogos aseguran que optimismo, humor y creatividad son las mejores herramientas para afrontar psicológicamente las adversidades derivadas de la actual crisis económica.	1982805	Psykologar seier at optimisme, humor og kreativitet er dei beste verktøya for å møta psykologisk motgang forårsaka av den noverande økonomiske krisa.
1990703	La madre de Tom es una muy buena cocinera.	1983857	Tom si mor er ein veldig god kokk.
2356947	¿Tú o yo?	1983305	Du eller meg?
2438347	Estaré listo en diez minutos.	1983427	Eg er klar om ti minuttar.
2694992	Tom viajó hasta Boston para asistir a un congreso.	1985334	Tom drog til Boston for å gå på ein konferanse.
2695076	Vi la leona.	1983332	Eg ser løva.
607448	Esta silla está hecha de plástico.	1983386	Denne stolen er laga av plastikk.
2695087	¿Qué acabo de escribir?	1981354	Kva skreiv eg no?
2695094	A veces, hasta los más cuidadosos se equivocan.	1981110	Sjølv den varsamste tek somme tider gale.
2695096	Ella se bebe una botella de leche cada mañana.	1982776	Ho drikk ei flaske mjølk kvar morgon.
2695102	El tren estaba tan lleno que tuvimos que ir de pie todo el trayecto hasta Osaka.	1981787	Toget var så fullt at vi måtte stå heile vegen til Osaka.
2695108	Lo pasamos muy bien.	1981832	Vi hadde det kjempemorosamt.
2695120	Tu hermano no ha estado hoy en la escuela.	1983353	Broren din var ikkje på skulen i dag.
453636	Me llamo Ichiro Tanaka.	1983354	Eg heiter Ichiro Tanaka.
2695125	Mi padre me ha comprado una nueva bici.	1983357	Far har kjøpt meg ein ny sykkel.
2695194	Caminaba por la calle de forma extraña.	1981442	Han gjekk kleint ned gata.
2695205	Tom será universitario este año.	1985293	Tom vert universitetsstudent i år.
2695260	Te deseamos una buena estancia.	1981134	Me ønskjer deg eit hyggjeleg opphald!
2695272	Estuve ayer en el zoológico.	1983296	Eg var i dyreparken i går.
2695301	Tom llegará en cualquier momento.	1985257	Tom er her om nokre få augeblikk.
2695329	Deben de haber fracasado por falta de entusiasmo.	1980548	Dei må ha mislukkast på grunn av manglande entusiasme.
2940417	Ella seguía débil tras su enfermedad.	1981792	Ho var endå svak etter sjukdomen.
3125988	Adoro este restaurante.	3014218	Jeg elsker denne restauranten.
3349210	Tengo hambre.	4110817	Eg er svolten.
540477	Bob es mi amigo.	1980627	Bob er venen min.
562098	Cierra la puerta.	5823473	Lukk att døra.
562098	Cierra la puerta.	5823474	Lukk igjen døra.
562098	Cierra la puerta.	5823476	Lukk døra.
455828	Estoy aburrido.	5926109	Eg keiar meg.
455882	Me aburro.	5926109	Eg keiar meg.
456098	Me duele aquí.	5926523	Eg har vondt her.
456098	Me duele aquí.	5926524	Det gjer vondt her.
464547	¿Qué necesitas?	5928731	Kva treng du?
527193	Está comiendo.	5929439	Han et.
541285	¿Está durmiendo?	5929423	Søv han?
553304	Pienso en ti todo el tiempo.	5926172	Eg tenkjer på deg heile tida.
618548	La próxima vez lo haré yo mismo.	5928417	Neste gong gjer eg det sjølv.
687649	¿Dónde está la salida?	5928871	Kvar er utgangen?
734249	Me duelen los ojos.	5926563	Eg har vondt i augo.
747666	Al principio no le creí.	5926875	Eg trudde ikkje på han i byrjinga.
821024	La simetría es aburrida.	5926148	Symmetri er keisamt.
850430	El árabe se escribe de derecha a izquierda.	5926068	Arabisk skrivast frå høgre mot venstre.
858865	Es más fácil de lo que pensaba.	5926906	Det er enklare enn eg trudde.
865396	¡Hay que hacer algo!	5925976	Noko må gjerast!
883760	Creía que tenías que levantarte a las 7 y media.	5926912	Eg trudde du måtte stå opp 7.30 (halv åtte).
1013884	Estoy en casa.	5924600	Eg er heime.
1173857	¿Qué necesito?	5928746	Kva treng eg?
1239359	¿Dijiste algo?	5925576	Sa du noko?
1292126	No dolerá.	5926359	Det kjem ikkje til å gjera vondt.
1321998	¿A quién le darás el libro?	5924590	Kven skal du gjeva boka til?
1384561	Él come.	5929439	Han et.
1512797	¡Eso debe haber dolido!	5926349	Det må ha gjort vondt!
1651142	Me duelen los pies.	5926510	Eg har vondt i føtene.
1671852	Necesito café.	5928758	Eg treng kaffi.
1834109	No he entendido nada de lo que ha dicho.	5929797	Eg forstod ingenting av det han sa.
1841848	Quedate conmigo.	6014602	Bli hos meg.
1889338	Espera hasta mañana.	5926304	Vent til i morgon.
2008655	Hay que hacer algo.	5925976	Noko må gjerast!
2052413	Come algo.	5925477	Et noko!
2152710	Estoy buscando algo.	5925833	Eg leitar etter noko.
3294893	Los niños juegan detrás de la casa.	5926969	Barna leiker bakanfor huset.
3668664	Soy aburrido.	5926131	Eg er keisam.
3668865	Soy aburrida.	5926131	Eg er keisam.
4505812	¿Sabes escribir?	5926619	Kan du skriva?
4652903	¿Oyes algo?	5925897	Høyrer du noko?
5926987	He leído algunos de estos libros.	5926978	Eg har lese nokon av desse bøkene.
6563515	Me encantan los idiomas.	1980618	Eg likar språk.
1331353	Él bebió una taza de café.	6837649	Han drakk ein kopp kaffi.
2083934	Creía que Tom tenía un perro.	1982743	Eg trudde Tom hadde hund.
4256140	Bienvenidos a Wikipedia.	4256195	Velkomen til Wikipedia.
2057159	Mi nombre no es "usted"; es Ricardo.	6333399	Eg heiter ikkje "du"; eg heiter Ricardo.
460402	El agua es un líquido.	4110697	Vatn er ei væske
2146943	No vivo en Finlandia.	2124769	Eg bur ikkje i Finland.
382058	¡Gracias!	4110752	Takk!
2149804	Soy Gregor.	1983364	Eg er Gregor.
1097323	Hay un parque detrás del cine.	8423645	Det ligg ein park bak kinoen.
1737445	Él tiene nervios de acero.	8423769	Han har nervar av stål.
1140294	Una comida sin vino es como un día sin sol.	8424010	Eit måltid utan vin er som ein dag utan sol.
627539	Lo compré la semana pasada.	8425386	Eg kjøpte han førre veke.
346570	La semana próxima voy a Chicago.	8425424	Eg skal til Chicago neste veke.
454610	El castillo está al otro lado del río.	8426216	Slottet ligg på andre sida av elva.
626522	No trabajo los lunes.	8427526	Eg jobbar ikkje på måndagar.
2807592	Estoy de mal humor.	8427529	Eg er i dåleg humør.
495331	Es mi canción favorita.	8427534	Det er yndlingslåta mi.
1455939	Es mi plato favorito.	8427537	Det er livretten min.
1496942	¿Quién apagó la luz?	8427669	Kven var det som sløkte lyset?
538662	Encendí la luz.	8427686	Eg tende lyset.
436120	¿Cómo se escribe?	8428466	Korleis skrivast det?
436120	¿Cómo se escribe?	8428467	Korleis stavast det?
462689	La camisa está limpia y seca.	8429833	Skjorta er rein og turr.
3106506	¿Has leído "Romeo y Julieta"?	8430244	Har du lese «Romeo og Julie»?
2777061	¿A quién le toca poner la mesa?	8434937	Kven sin tur er det til å dekkje på bordet?
1215304	¿Tomás café?	1168715	Drikker du kaffe?
6686430	Bebe algo.	5925488	Drikk noko.
6686423	Toma algo.	5925488	Drikk noko.
6686432	Beban algo.	5925488	Drikk noko.
4671664	Bob es mi cuate.	1980627	Bob er venen min.
