332218	Esta es la casa donde nació el novelista famoso.	922286	این خانه‌ای است که رمان‌نویس مشهور در آن متولد شد.
336299	No debes creer lo que él te dice.	554402	آنچه را به تو می‌گوید، باور نکن.
338833	¿Bebes alcohol?	773636	مشروب می‌خوری؟
343472	Ella me explicó cómo usar el secador de pelo.	907902	او برایم توضیح داد که چگونه از سشوار استفاده کنم.
346059	Al tener padre norteamericano y madre francesa, ella habla dos idiomas.	773645	او با پدر آمریکایی و مادر فرانسوی به دو زبان صحبت می‌کند.
354912	No tenemos más remedio que ir.	1438226	چاره‌ای جز رفتن نداریم.
434839	¿Tiene tos o catarro?	833130	سرفه می‌کنی یا سرما خورده‌ای؟
436536	No llevo dinero encima.	907875	من هیچ پولی با خودم ندارم.
459179	Mi hermana fue a Kobe ayer.	908144	دیروز خواهرم به کوبه رفت.
463299	Este es un ejemplo del progreso que estamos haciendo.	761119	این یک مثالی از پیشرفتی است که ما می کنیم.
482410	¿Qué ocurre?	907919	چه اتفاقی افتاد؟
512409	Te mereces el premio.	667423	آن جایزه برازنده شماست.
523815	Miguel no tenía miedo de él, y tenía mucha curiosidad.	634905	میگوئل از او نمی ترسید و خیلی کنجکاو بود.
524090	Todavía no sabemos la verdad.	1872374	ما هنوز واقعیت را نمی دانیم.
532550	No pidas dinero.	907851	تقاضای پول نکن.
582899	No soy sino un mentiroso.	866440	من چیزی جز یک دروغگو نیستم.
630926	Este diccionario, del cual falta el tercer tomo, me costó cien dólares.	907916	این لغت‌نامه، که جلد سومش را ندارم، برایم صد دلار تمام شد.
632258	¿Cuándo vuelves de Milán?	725043	کی از میلان برمی گردید؟
672361	La fecha del calendario era el 23 de Septiembre de 1964.	809602	تاریخ روی تقویم 23 سپتامبر 1964 بود.
679815	Tómate una taza de leche. Te hará bien.	1438165	یک لیوان شیر بخور. برایت خوب است.
687833	¿Desea algo más?	786227	چیز دیگری می‌خواهید؟
721999	No, en realidad no.	1085123	نه، واقعاً نه.
728858	La silla está descompuesta: más vale que consigas a alguien que la arregle.	1272708	صندلی شکسته است. بهتر است آن را به کسی بدهی تا برایت تعمیر کند.
740064	He olvidado su nombre.	756328	نام او را فراموش کردم.
753044	Cuando me vio, salió corriendo.	758715	چه کسی او مرا دید؟ اوفرارکرد.
758098	Él está enfermo.	1131002	او بیمار است.
773831	No le gusta el director de la escuela.	773827	او از آن مدیر مدرسه خوشش نمی‌آید.
778676	Tiene un hijo y dos hijas.	786226	او یک پسر و دو دختر دارد.
816234	Naoki y Kaori tienen la misma edad.	860888	نائوکی همسن کائوری است.
843470	Es absolutamente necesario que estés a tiempo como siempre.	907894	مطلقاً ضروری است که طبق معمول وقت‌شناس باشید.
850006	Adiós.	512584	خداحافظ
853480	Olvidé su nombre.	756328	نام او را فراموش کردم.
853648	Es un buen precio, para este tipo de producto.	727744	این قیمت جذابی برای این نوع دستگاه ها است.
854940	Tenemos un gato. Todos le queremos.	677476	ما یک گربه داریم. ما همه گربه ها را دوست داریم.
855307	Me alegro de verte de nuevo.	791724	خوشحالم دوباره شما را می‌بینم.
857076	No puedes cuidar de mascotas.	787079	شما نمی‌توانید از حیوانات خانگی‌تان مراقبت کنید.
864208	Deberías arreglar tu coche.	714507	باید اتومبیل تان را برای تعمیر می دادید.
866195	Hace mucho tiempo aquí había un puente.	729222	مدت ها قبل یک پل اینجا بود.
949086	Maja Keuc es una buena cantante.	949781	مَیَ کِوتس یک خواننده خوب است.
952959	Un hexágono tiene seis lados.	796556	شش‌ضلعی شش ضلع دارد.
974938	Las tortugas existen hace mucho más de 100 millones de años.	1085119	لاک پشت ها بیش از صد میلیون سال است که وجود دارند.
989520	¿Qué estabas haciendo en ese momento?	1044535	آن لحظه چه می کردی؟
1005004	Él se alimenta sólo con leche y verduras.	732087	او خود را با شیر و سبزی‌جات تغذیه می‌کند.
1035972	Ella abandonó la escuela.	610672	او ترک تحصیل کرد.
1036769	Mi hermana me plancha los pantalones.	1872220	خواهرم شلوارهای مرا اتو می کند.
1037696	Jugo de naranja, por favor.	793938	آب‌پرتقال لطفاً.
1039940	¿Necesitas un sobre?	1037382	آیا شما یک پاکت نامه می خواهید؟
1039942	"Oh cariño," dijo ella, "siéntate, relájate y cierra tus ojos."	908131	او گفت: «اوه عزیزم، بنشین، آرام باش، و چشم‌هایت را ببیند.»
1039943	No hables sobre el trabajo, estamos en vacaciones.	729025	راجع به کار صحبت نکنید، الآن در تعطیلی هستیم.
1039944	¿Le dijiste a alguien donde está nuestro escondite?	960915	آیا تو به کسی گفته ای که مخفیگاه ما کجاست؟
1045523	Tenemos un gato blanco.	1045486	ما گربه ی سفيد داريم.
1045584	Él tiene una camisa negra.	1045485	او پييراهن سياه دارد.
1052246	Hoy estoy cansada.	1048265	امروز خسته هستم.
1068730	El clima está horrible.	741064	هوای بدی است.
1070360	Quiero que él vaya para allá.	717868	می خواهم، که او به آنجا برود.
1080216	¿Cuántos años tenés?	650395	چند سال دارید؟
1192304	Llévalo a un mecánico a arreglar.	1438230	آن را پیش یک میکانیک ببر که درستش کند.
1369964	Cargue esta factura a mi cuenta.	739874	آن صورت‌حساب را به حساب من بگذارید.
1386618	Tom no toma mucha cerveza, pero sí que toma mucho vino.	1438237	تام آبجو زیاد نمی‌خورد، ولی شراب واقعاً زیاد می‌خورد.
1410576	Come la sopa sin hacer ruido.	1204700	سوپ‌تان را بدون سروصدا بخورید.
1518715	Francia queda en Europa Occidental.	717604	فرانسه در اروپای غربی واقع است.
637467	Francia está en Europa Occidental.	717604	فرانسه در اروپای غربی واقع است.
1518775	Francia se encuentra en Europa Occidental.	717604	فرانسه در اروپای غربی واقع است.
1603629	Señor Crouch, ¿qué está haciendo?	677408	آقای کروچ، چه کار می کنید؟
1678556	Los pájaros cantan temprano por la manaña.	666426	پرندگان در صبح زود آواز می خوانند.
1678588	No podía contestar todas las preguntas.	729013	نمی توانستم همه سوالات را جواب دهم.
2109080	Estaré junto a ti, no importando lo que otros puedan decir.	2109034	من کنار تو خواهم ماند و اهمیتی ندارد که دیگران چه خواهند گفت.
2392787	¿Tienes tiempo para ayudarme?	798613	آیا وقت برای کمک کردن به من دارید؟
2421412	¿Dónde está el taxi?	2403772	تاکسی کجاست؟
2879492	Su encanto no se puede describir con palabras.	785592	دلربائی او را با کلمات نمی‌شود بیان کرد.
2882209	¿De qué color son tus ojos?	2882218	چسماتون چه رنگیه؟
3436217	Si estuviera aquí, ¿qué diría?	798852	اگر او اینجا بود، چه می‌گفت؟
3545737	Me encantó su razonamiento.	3538996	از استدلال شما لذت بردم
3753153	Tenemos que limpiar nuestra aula.	510596	ما باید کلاسمان را تمیز کنیم.
1783118	Tom bajó la voz y le dijo a Mary que la amaba.	3842211	تام صدایش را آرام کرد و به مری گفت که عاشقِ اوست.
4068951	Tom sabía dónde vivía Mary.	4068969	تام دانشت کجا مری زندگی می کند.
4443057	Una corte sin mujeres es como un jardín sin flores.	828080	حیاط بدون زن مانند باغ بدون گل است.
5360419	La barba no hace al filósofo .	756607	ریش سفید نشان‌دهنده‌ی عقل نیست.
5360423	Mente sana en cuerpo sano.	1793848	عقل سالم در بدن سالم است.
2716729	Tom dijo buenas noches.	5518707	تام شب بخير گفت. تام گفت شب بخير.
5978537	Acabo de llegar de Gran Bretaña.	694666	همین الآن از بریتانیای کبیر آمدم.
491171	No hay dos sin tres.	6831669	تا سه نشود بازی نشود.
701368	El mundo es un pañuelo.	6837591	دنیا خیلی کوچک است.
5187703	No se puede chiflar y comer pinole.	6839875	هم خدا را می‌خواهد هم خرما را.
3080	No se puede estar en misa y repicando.	6841730	آدم نمی‌تواند در دو عروسی همزمان برقصد.
8312605	Los partidos no llegaron a un acuerdo.	8449991	احزاب به هیچ توافقی نرسیدند.
432296	El perro está muerto.	511212	اين سگ مرده است.
802886	Dos, cuatro, seis, etc. son números pares.	8472828	۲، ۴، ۶ و غیره اعداد زوج هستند.
2049195	Me encantan los gatos.	5360389	من عاشق گربه ها هستم.
5035263	Nadie lo sabe todo.	8536320	هیچ‌کس همّه چیز را نمی‌داند.
2756823	No tienen ninguna prueba.	8536235	اثبات ندارند.
1685911	No puedo oír nada. Estoy sordo.	8563436	من چیزی نمی شنوم. من ناشنوا هستم.
1061006	¿Tienen hijos?	8569733	بچه داری؟
4271286	Ya le he dicho a Tom lo que has hecho.	8587372	من قبلاً به تام گفتم که چه کار کردی.
8600040	La entrada en la biblioteca es libre.	8600041	ورود به کتابخانه رایگان است.
8600040	La entrada en la biblioteca es libre.	8600042	پذیرش در کتابخانه رایگان است.
