2483	¿Qué estás haciendo?	492473	Що робиш?
2492	Esto no acabará nunca.	490158	Це ніколи не скінчиться.
2497	No sé si tengo tiempo.	637875	Не знаю, чи матиму час.
2505	Gano 100 € al día.	413673	Я заробляю 100 євро на день.
2517	Deberías dormir.	547768	Тобі треба поспати.
2532	¿Estás seguro?	1639558	Ти впевнений?
2535	¡Date prisa!	510423	Хутчіш!
2548	No soy un pez de verdad, sólo soy un peluche.	1567209	Я не справжня риба, я лише плюшева іграшка.
2553	Me tomaría una eternidad explicarte todo.	490748	Мені знадобиться вічність, щоб все пояснити.
2558	No tengo la intención de ser egoísta.	540794	Не маю наміру бути егоїстом.
2573	Todas las personas que están solas, están solas porque tienen miedo de los demás.	495253	Усі самотні люди самотні через те, що бояться інших.
2609	Gracias por tu explicación.	1645555	Дякую за пояснення.
2630	Me gusta la luz de las velas.	547779	Мені подобається світло свічок.
2639	Te quiero.	379028	Я люблю тебе.
2639	Te quiero.	379029	Я кохаю тебе.
2642	¡Felicidades!	414700	Вітаю!
2649	Es inevitable que yo vaya a Francia algún día, sólo que no sé cuándo.	495324	Я неодмінно колись поїду у Францію, але ще не знаю, коли саме.
2661	¿Cómo podría ser yo un robot? Si los robots no sueñan.	490640	Як я можу бути роботом? Роботи не бачать снів.
2671	¿Cómo encuentras comida en el espacio?	1661818	Як ти знайдеш їжу в космосі?
2708	—¿Qué pasa? —preguntó el pequeño conejo blanco.	1574343	"У чому справа?" - запитав маленький білий кролик.
2755	¡Muchas gracias!	399620	Дуже дякую!
2756	Por favor, ¿dónde están los huevos?	1636866	Скажіть, будь ласка, де яйця?
2761	Es una pena cuando alguien muere.	1577389	Шкода, коли хтось помирає.
2768	Aquellos que viven en casas de cristal no deberían tirar piedras.	495266	Тим, хто живе у скляних будинках, не треба кидатися камінням.
2771	Las mates son como el amor: una idea simple, pero puede complicarse.	547715	Математика подібна коханню - ідея проста, але можуть бути ускладнення.
2825	¿Cómo se dice eso en italiano?	1584596	Як це сказати італійською?
2868	No es mi tipo.	547783	Це не мій типаж.
2909	¿Por qué la gente va al cine?	1459174	Чому люди йдуть в кіно?
2909	¿Por qué la gente va al cine?	1661843	Чому люди ходять у кіно?
2914	Querer es poder.	497156	Там, де воля, там і шлях.
2928	Tienes razón.	2804864	Маєш рацію.
2928	Tienes razón.	2426738	Ти маєш рацію.
2928	Tienes razón.	2804867	Ти правий.
2928	Tienes razón.	2804868	Ти права.
2929	¡Has hecho esto intencionadamente!	2782364	Ти це спеціально зробив!
2936	La vida es bella.	379052	Життя прекрасне.
2963	¿Cuándo comemos? ¡Tengo hambre!	562070	Коли ми будемо їсти? Я голодний!
2966	¿De qué país eres?	380002	З якої ти країни?
2973	Uno, dos, tres, cuatro, cinco, seis, siete, ocho, nueve, diez.	382288	Один, два, три, чотири, п'ять, шість, сім, вісім, дев'ять, десять.
3000	El queso es un alimento sólido elaborado a partir de la leche de vaca, cabra, oveja u otros mamíferos.	495282	Сир - це тверда їжа, яку роблять із коров'ячого, козячого, овечого молока й молока інших ссавців.
3001	Si no lo hago ahora, nunca lo haré.	698523	Якщо я не зроблю цього зараз, то не зроблю ніколи.
3026	El tiempo ha pasado rapidísimo.	1577386	Час минув дуже швидко.
3048	Por favor, indíquemelo en el mapa.	490610	Будь ласка, позначте мені це на карті.
3059	¿Podría repetirlo, por favor?	552789	Чи не могли б ви це повторити, будь ласка?
3075	La palabra es plata y el silencio oro.	494862	Слово - срібло, мовчання - золото.
10454	La escuela estaba de vacaciones por Navidad.	494808	Школу закрили на різдвяні канікули.
39723	A una mujer, cuyo marido está muerto, se le llama viuda.	546406	Жінка, в якої помер чоловік, зветься вдовою.
56697	Por favor échame una mano.	547716	Допоможи мені, будь ласка.
120055	Mi tía tiene tres hijos.	494589	У моєї тітки троє дітей.
120062	Se fue sin despedirse.	490547	Він пішов, не попрощавшись.
127380	Me despierto habitualmente a las seis.	2906895	Як правило, я прокидаюся о шостій.
180519	Eh... ¿Cómo está marchando eso?	1587594	Е... Як це працює?
180551	Es bastante difícil dominar el francés en 2, 3 años.	495353	Опанувати французьку мову за 2-3 роки доволі важко.
329858	Parece que no queda dinero.	2888978	Здається, грошей більше не лишилося.
329872	Tengo mala vista.	540792	У мене поганий зір.
329910	Lo conozco.	1639703	Я його знаю.
329916	Merece la pena leer aquel libro.	1581255	Ту книгу варто прочитати.
330027	Esa noche hacía mucho frío.	1579048	Ніч була дуже холодна.
330045	El profesor tiene el triple de libros que yo.	544773	У вчителя втричі більше книг, ніж у мене.
330087	El sueño es el mayor de los ladrones. Nos roba la mitad de la vida.	495365	Сон - то найбільший злодій. Він краде половину нашого життя.
330103	El padre de ella es japonés.	510834	Її батько — японець.
330113	¿Es usted japonés?	1569585	Ви японець?
330126	Él no quería separarse de su familia.	490538	Він не хотів розлучатися з родиною.
330294	Más vale pájaro en mano que ciento volando.	422293	Краще синиця в жмені, ніж журавель в небі.
330626	Ella no habla solamente inglés, también habla francés.	470526	Вона може говорити не тільки англійською, але й французькою.
330626	Ella no habla solamente inglés, también habla francés.	1566980	Вона говорить не лише англійською, але й французькою.
330685	De esta forma es como ocurrió.	476134	Так це і сталося.
330978	Dime por qué quieres ir allá.	1567255	Скажи мені, чому ти хочеш туди йти.
331209	Ese fue el mejor día de mi vida.	480743	Це був найкращий день мого життя.
331597	Esto no es lo que ordené.	1610119	Це не те, що я замовляв.
332230	¡Feliz cumpleaños!	379378	З днем народження!
334222	Mi padre dejó de beber.	563572	Мій батько кинув пити.
336342	El rumor resultó ser falso.	1584413	Чутка виявилася фальшивою.
336401	El viento voló el techo de nuestra casa.	490527	З нашого будинку вітром знесло дах.
336559	¿Por qué viniste a Japón?	385125	Чому ти приїхала в Японію?
336802	Necesitamos comer para vivir.	1650017	Ми їмо для того, щоб ми могли жити.
336802	Necesitamos comer para vivir.	1650018	Нам необхідно їсти, щоб жити.
337139	No le gusta el pescado.	1646952	Він не любить рибу.
337149	Y para peor, últimamente ha empezado a beber alcohol.	495328	І що гірше, останнім часом він почав пити алкогольні напої.
337882	Todas las tragedias terminan con una muerte.	495316	Усі трагедії закінчуються смертю.
338237	Miles de víctimas murieron de esta enfermedad.	494645	Тисячі жертв цієї хвороби померли.
338558	Enséñame cómo hacerlo, por favor.	1636832	Покажи менi, будь-ласка, як це робиться.
338601	Me gusta leer libros.	1600266	Мені подобається читати книжки.
338832	Esa caja estaba casi llena.	1585744	Коробка була майже повна.
338838	Hay que lavarse las manos antes de las comidas.	495351	Треба мити руки перед їдою.
338917	¿Dónde está el baño?	414761	Де прибиральня?
338920	Ella se parece a su madre.	494371	Вона схожа на матір.
338927	Japón es un país agraciado.	559637	Японія - багата країна.
339035	Lo que él dice no tiene sentido.	1601398	Те, що він говорить, не має жодного сенсу.
339039	No tengo mucho dinero.	494002	Я не маю багато грошей.
339039	No tengo mucho dinero.	494005	В мене небагато грошей.
339053	Estos son nuestros libros.	498542	Це наші книги.
339097	Conduzcamos hasta el mar.	562051	Поїхали на море.
339131	Él tiene tres hijas. Una está casada, pero las otras dos no.	490285	У нього є три доньки. Одна заміжня, але інші дві - ні.
339138	Lo metieron en prisión.	1574403	Його посадили до в'язниці.
339207	Me preguntó si yo sabía el número de teléfono de ella.	559644	Він мене запитав, чи я знаю номер її телефону.
339297	Gracias por una noche agradable.	490388	Дякую за гарний вечір.
339331	Ellos jamás mienten.	1611360	Вони ніколи не брешуть.
339334	Sígueme.	636410	Ходіть зі мною.
339377	Piedra, papel, tijeras.	1636795	Камінь, ножиці, папір.
339545	Él decidió casarse con ella.	1565827	Він вирішив на ній одружитися.
339656	Ella dijo estar satisfecha con su vida.	540803	Вона сказала, що вона задоволена своїм життям.
339667	Su deuda alcanzó los 100 dólares.	490535	Його борг сягнув ста доларів.
339795	Ella no reconoce que está equivocada.	563177	Вона не визнає того, що неправа.
339823	Ella juega al tenis todos los días tras las clases.	1575719	Кожного дня після школи вона грає у теніс.
339834	El arcoíris tiene siete colores.	506764	У веселки сім кольорів.
339834	El arcoíris tiene siete colores.	506776	Райдуга має сім кольорів.
339943	Su cara se puso pálida de repente.	492607	Раптом вона зблідла.
340278	Ella me regaló un libro por navidad.	495320	Вона подарувала мені книжку на Різдво.
340296	Le encanta el fútbol.	544782	Йому дуже подобається футбол.
340300	Mañana, jugará al fútbol.	1577367	Завтра він гратиме в футбол.
340306	Baja del caballo.	494555	Злізь із коня.
340310	Ken es un futbolista.	1574009	Кен - футболіст.
340398	¿Habla usted inglés?	1584615	Ви говорите англійською?
340545	Desde entonces vivieron felices.	940139	З тих пір жили щасливі.
340549	Él nos construyó una mesa y dos bancos.	495259	Він зробив нам стіл і дві лавки.
341635	Tengo muchos amigos.	414690	Я маю багато друзів.
341744	Ella se levanta tarde los domingos por la mañana.	536329	Вона встає пізно зранку у неділю.
341754	Él es en cierto modo un genio.	1576065	Він в якомусь сенсі геній.
342319	Ella terminó el trabajo con facilidad.	1632852	Вона з легкістю закінчила роботу.
342481	El único animal que ríe es el hombre.	559650	Єдина тварина, що вміє сміятися - це людина.
342626	Comparado con Tokio, Londres es pequeño.	2177944	У порівнянні з Токіо, Лондон маленький.
342675	Su nombre es conocido en todo el país.	495336	Його ім'я знають в усій країні.
342756	La capital de Japón es Tokio.	491060	Столиця Японії - Токіо.
342773	Él abandonó el plan por razones económicas.	563164	Він відмовився від цього плану з економічних міркувань.
342910	¿El reparto es gratuito?	539618	Доставка безкоштовна?
342963	Veamos la televisión aquí.	559643	Давай подивимося телевізор тут.
343149	Él habla inglés con fluidez.	559025	Він вільно говорить англійською.
343343	Él traba amistad con todas las personas que conoce.	495318	Він приятелює з усіма, з ким знайомиться.
343429	Él sacrificó su salud para cumplir con su deber.	1611379	Він пожертвував здоров'ям заради виконання обов'язку.
343462	Papá vuelve mañana.	559021	Тато повертається завтра.
343647	Nuestro equipo de béisbol es muy fuerte.	559661	Наша бейсбольна команда дуже сильна.
343767	Él juega al tenis tres veces por semana.	629383	Він грає у теніс тричі на тиждень.
343807	Él tiene un hijo y dos hijas.	490621	У нього є син і дві доньки.
343856	Te gustará está ciudad enseguida.	539610	Скоро це місто тобі почне подобатися.
344077	Tienes buena letra.	539620	У тебе гарний почерк.
344086	¿Dónde está la salida de emergencia?	493422	Де аварійний вихід?
344089	La reunión fue, en resumen, una pérdida de tiempo.	495334	Одним словом, то були не збори, а гаяння часу.
344194	Yo jugué al tenis.	1395698	Я грав у теніс.
345084	Compré el coche con una rebaja del 10%.	1567270	Я купив машину зі знижкою 10%.
345087	Huyeron en todas direcciones.	495367	Вони розбіглися навсібіч.
345111	Él inventó una excusa sobre su retraso.	494820	Він придумав виправдання своєму запізненню.
345119	No sabes nadar, ¿verdad?	1574005	Ти не вмієш плавати, чи не так?
345126	Ella es médica.	1772853	Вона лікар.
345169	Mari ha estado en Hungría.	492480	Мері була в Угорщині.
345171	No hay que perder la esperanza.	540801	Не втрачай надії.
345193	Ella le dio un reloj.	409476	Вона дала йому годинник.
345203	Él tenía 50 dólares.	1585756	У нього було п'ятдесят доларів.
