2965	"Gracias." "De nada."	572982	«رەھمەت ساڭا.» «ئەرزىمەيدۇ.»
2965	"Gracias." "De nada."	572983	«رەھمەت سىزگە.» «ئەرزىمەيدۇ.»
2965	"Gracias." "De nada."	572984	«رەھمەت سىلەرگە.» «ئەرزىمەيدۇ.»
339053	Estos son nuestros libros.	397324	بۇلار بىزنىڭ كىتابلىرىمىز.
355796	Soy un empresario.	397052	مەن كارخانىچى.
382058	¡Gracias!	397310	رەھمەت!
401080	Ahora estoy ocupado.	401082	ھازىر مەن ئالدىراش.
401427	De pronto llueve.	806378	يامۇر ياغىدىغاندەك قىلىدۇ.
402729	Entonces mañana le pregunto.	810505	ئۇنداقتا ئەتە ئۇ توغۇرلۇق ئۇنىڭدىن سوراپ باقاي.
454432	Habla inglés con fluidez.	454429	ئۇ ئىنگلىز تىلىنى راۋان سۆزلەيدۇ.
455729	Al hotel Hilton, por favor.	774376	خىلتون مېھمانخانىسى، مەر ھەمەت.
509729	Ottawa es la capital de Canadá.	669931	ئوتتاۋا كانادانىڭ پايتەختى.
528491	Vivo en Japón.	797264	مەن ياپونىيىدە تۇرىمەن.
539476	Esta casa no es nueva.	396812	بۇ ئۆي يېڭى ئەمەس.
539911	Es imposible.	425120	ئىمكان يوق.
541342	A menudo tengo pesadillas.	399024	مەن دائىم قاباھەتلىك چۈش كۆرىمەن.
542846	Los peces viven en el mar.	709457	بېلىقلار دېڭىزدا ياشىدۇ.
544300	Ella es mi primer amor.	541870	ئۇ مېنىڭ بىرىنچى مۇھەببىتىم.
544301	Él es mi primer amor.	541870	ئۇ مېنىڭ بىرىنچى مۇھەببىتىم.
545990	"Michael" es nombre de hombre, pero "Michelle" es nombre de mujer.	545993	«مايكەل» بىر ئەرچە ئىسىم، لېكىن «مىشەل» بىر ئايالچە ئىسىم.
546931	Vaya, hace bastante frío hoy.	451015	بۈگۈن سوغۇق بەك بولىدىكەن.
576594	Acabo de terminar de comer.	1790753	چۈشلۈك تاماق باياتىن يەپ بولدۇم.
687787	¿Por qué necesita usted un televisor nuevo?	790827	سىزگە يېڭى تېلېۋىزور نېمە ئۈچۈن كېرەك؟
711409	¿Os gustan las naranjas?	1012170	ئاپلىسىننى ياقتۇرامسىز؟
751996	Él está enseñando árabe.	597762	ئۇ ئەرەبچىنى ئوقۇتىدۇ.
781286	Eso no es sangre. Es betabel.	780221	بۇ قان ئەمەس، قىزىلچا ئىكەن.
782326	Este autobús va a Minsk.	778286	بۇ ئاپتوبۇس مىنكسكا بارىدىغان.
817640	Despídete de tus amigos.	818422	دوستلىرىڭغا خوش دە.
817689	Él fue a Nara.	817694	ئۇ ناراغا باردى.
855506	Se fue hace un rato.	1304424	ئۇ كەتكىلى خېلى ۋاقت بولدى.
856731	Tom está enfermo en la cama.	427276	توم كارىۋاتتا يېتىۋاتىدۇ.
858664	Vi a John en la biblioteca.	506441	مەن جوڭنى كۇتۇپخانىدا كۆردۈم.
867244	Ve al barbero.	443790	ساتىراشخانىغا بېرىڭ.
900653	Ahora te voy a presentar a mis padres.	671847	ھازىر ئاتا_ئانىمىزنى سىزگە تونۇشتۇرۇپ قويىمەن.
930976	No lo creo.	482595	ئىشەنمەيمەن!
1012165	No tenga miedo de experimentar cosas nuevas.	1012174	يېڭى شەيئىلەرنى سىناشتىن قورقما.
1012169	Recibí tu carta ayer.	1012171	تۈنۈگۈن خېتىڭنى تاپشۇرۇپ ئالدىم.
1039939	Todo el mundo merece una segunda oportunidad.	408958	ھەربىرەيلەننىڭ يەنە بىردىن پۇرسىتى بار
1208743	Estoy ocupado por el momento.	743680	ھازىر ئالدىراشمەن.
1210977	¿A quién no le gusta un rebelde?	405681	ئىسيانكارنى كىم ياخشى كۆرمەيدۇ؟
1210983	Es inusual.	500468	مۇنداق ئەھۋال دائىم ئۇچرىمايدۇ.
1306259	La comida no está lista aún.	426707	تاماق تېخى پىشمىدى.
1329231	Estoy viviendo en la ciudad.	396125	مەن شەھەردە تۇرىمەن.
1344563	Eso es imposible.	804908	ئۇ مۇمكىن ئەمەس .
1366831	Si yo fuera tú, me iría directo a casa.	806372	سېنىڭ ئورنىڭدا مەن بولغان بولسا دەرھال ئۆيگە قايتاتتىم.
1551463	Ese es mi perro.	2195960	ئۇ مېنىڭ ئىتىم.
1791243	Espero su opinión sobre este asunto.	1790754	بۇ ئىش توغرۇلۇق پىكرىڭىزنى كۈتىۋاتىمەن.
1829229	¿Ha venido él?	2211912	ئۇ كەلدىمۇ؟
1003199	Las naranjas son ricas en vitamina C.	735941	ئاپېلسىندا ۋىتامىن سە كۆپ.
3199263	Yo leí un libro.	2920855	مەن كىتاب ئوقۇدۇم.
3200583	¿Volverá ella a casa a las cinco?	584988	ئۇ سائەت بەشتە ئۆيگە قايتامدۇ؟
3274536	¿Este restaurante tiene pilaf?	2562577	بۇ ئاشخانىدا پولۇ بارمىكەن؟
